Participant,Signature,"Ratification, Accession(a), Succession(d)"
Madagascar,,24 Sep 2003 a
Malawi,,17 Mar 1986 a
Malaysia,,29 May 2007 a
Mali,,8 Feb 1990 a
Malta,,11 Nov 2001 a
Marshall Islands,,27 Jan 2003 a
Mauritania,,13 Mar 1998 a
Mauritius,18 Jun 1980,17 Oct 1980
Mexico,,28 Apr 1987 a
Micronesia (Federated States of),,6 Jul 2004 a
Monaco,,16 Oct 2001 a
Mongolia,,9 Jun 1992 a
Montenegro,,23 Oct 2006 d
Morocco,,9 May 2007 a
Mozambique,,14 Jan 2003 a
Myanmar,,4 Jun 2004 a
Nauru,,2 Aug 2005 a
Nepal,,9 Mar 1990 a
Netherlands,18 Dec 1980,6 Dec 1988
New Zealand,24 Dec 1980,12 Nov 1985
Nicaragua,,24 Sep 2003 a
Niger,,26 Oct 2004 a
Niue,,22 Jun 2009 a
Norway,18 Dec 1980,2 Jul 1981
Oman,,22 Jul 1988 a
Pakistan,,8 Sep 2000 a
Palau,,14 Nov 2001 a
Panama,24 Jan 1980,19 Aug 1982
Papua New Guinea,,30 Sep 2003 a
Paraguay,,22 Sep 2004 a
Peru,,6 Jul 2001 a
Philippines,2 May 1980,14 Oct 1980
Poland,,25 May 2000 a
Portugal,16 Jun 1980,6 Jul 1984
Qatar,,11 Sep 2012 a
Republic of Korea,,4 May 1983 a
Republic of Moldova,,10 Oct 2002 a
Romania,,17 May 1990 a
Russian Federation,,11 Jun 1987 a
Rwanda,,13 May 2002 a
Sao Tome and Principe,,23 Aug 2006 a
Saudi Arabia,,8 Jan 1991 a
Senegal,2 Jun 1980,10 Mar 1987
Serbia,,12 Mar 2001 d
Seychelles,,12 Nov 2003 a
Sierra Leone,,26 Sep 2003 a
Singapore,,22 Oct 2010 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,,23 Sep 2003 a
Spain,,26 Mar 1984 a
Sri Lanka,,8 Sep 2000 a
St. Kitts and Nevis,,17 Jan 1991 a
St. Lucia,,17 Oct 2012 a
St. Vincent and the Grenadines,,12 Sep 2000 a
Sudan,,19 Jun 1990 a
Suriname,30 Jul 1980,5 Nov 1981
Swaziland,,4 Apr 2003 a
Sweden,25 Feb 1980,15 Jan 1981
Switzerland,18 Jul 1980,5 Mar 1985
Tajikistan,,6 May 2002 a
Thailand,,2 Oct 2007 a
The former Yugoslav Republic of Macedonia,,12 Mar 1998 d
Togo,8 Jul 1980,25 Jul 1986
Tonga,,9 Dec 2002 a
Trinidad and Tobago,,1 Apr 1981 a
Tunisia,,18 Jun 1997 a
Turkey,,15 Aug 1989 a
Turkmenistan,,25 Jun 1999 a
Uganda,10 Nov 1980,5 Nov 2003
Ukraine,,19 Jun 1987 a
United Arab Emirates,,24 Sep 2003 a
United Kingdom of Great Britain and Northern Ireland,18 Dec 1979,22 Dec 1982
United Republic of Tanzania,,22 Jan 2003 a
United States of America,21 Dec 1979,7 Dec 1984
Uruguay,,4 Mar 2003 a
Uzbekistan,,19 Jan 1998 a
Venezuela (Bolivarian Republic of),,13 Dec 1988 a
Yemen,,14 Jul 2000 a
