Participant,Resolution,Date of Adoption,Registration Date,Registration Number,UNTS Volume,UNTS Page
Palau28,49/163,15 Dec 1994,15 Dec 1994,31428,1843,181
Papua New Guinea,3368 (XXX),10 Oct 1975,10 Oct 1975,14377,985,51
Portugal29,995 (X),14 Dec 1955,21 Feb 1956,3155,229,3
Qatar,2753 (XXVI),21 Sep 1971,21 Sep 1971,11352,797,81
Republic of Korea,46/1,17 Sep 1991,17 Sep 1991,28365,1649,305
Romania,995 (X),14 Dec 1955,14 Dec 1955,3052,223,59
Rwanda,1748 (XVII),18 Sep 1962,18 Sep 1962,6302,437,145
Samoa,31/104,15 Dec 1976,15 Dec 1976,15164,1031,3
San Marino,46/231,2 Mar 1992,2 Mar 1992,28694,1668,231
Sao Tome and Principe,3364 (XXX),16 Sep 1975,16 Sep 1975,14311,981,353
Senegal,1490 (XV),28 Sep 1960,28 Sep 1960,5374,376,79
Serbia5,55/12,1 Nov 2000,1 Nov 2000,36991,2124,3
Seychelles,31/1,21 Sep 1976,21 Sep 1976,15022,1023,107
Sierra Leone,1623 (XVI),27 Sep 1961,27 Sep 1961,5876,409,43
Singapore,2010 (XX),21 Sep 1965,21 Sep 1965,7930,545,151
Slovakia12,47/222,19 Jan 1993,19 Jan 1993,29465,1703,195
Slovenia5,46/236,22 May 1992,22 May 1992,28936,1675,223
Solomon Islands,33/1,19 Sep 1978,19 Sep 1978,17087,1106,137
Somalia,1479 (XV),20 Sep 1960,23 Feb 1961,5577,388,179
South Sudan,65/308,14 Jul 2011,1 Dec 2011,49220,in process,in process
Spain,995 (X),14 Dec 1955,14 Dec 1955,3053,223,63
Sri Lanka30,995 (X),14 Dec 1955,14 Dec 1955,3047,223,39
St. Kitts and Nevis31,38/1,23 Sep 1983,23 Sep 1983,22359,1332,261
St. Lucia,34/1,18 Sep 1979,18 Sep 1979,17969,1145,201
St. Vincent and the Grenadines,35/1,16 Sep 1980,16 Sep 1980,19076,1198,185
Sudan,1110 (XI),12 Nov 1956,12 Nov 1956,3576,253,81
Suriname32,3413 (XXX),4 Dec 1975,1 Jun 1976,14784,1007,343
Swaziland,2376 (XXIII),24 Sep 1968,24 Sep 1968,9252,646,177
Sweden1,34 (I),9 Nov 1946,14 Dec 1946,9,1,43
Switzerland,57 (I),10 Sep 2002,10 Sep 2002,38864,2195,291
Tajikistan,46/228,2 Mar 1992,2 Mar 1992,28690,1668,217
Thailand1,101 (I),15 Dec 1946,16 Dec 1946,11,1,47
The former Yugoslav Republic of Macedonia5,47/225,8 Apr 1993,8 Apr 1993,29892,1719,31
Timor-Leste,57/3,27 Sep 2002,27 Sep 2002,38866,2195,309
Togo,1477 (XV),20 Sep 1960,20 Sep 1960,5355,375,83
Tonga,54/3,14 Sep 1999,14 Sep 1999,36938,2121,181
Trinidad and Tobago,1751 (XVII),18 Sep 1962,18 Sep 1962,6305,437,157
Tunisia,1112 (XI),12 Nov 1956,12 Nov 1956,3577,253,85
Turkmenistan,46/229,2 Mar 1992,2 Mar 1992,28693,1668,227
Tuvalu,55/1,5 Sep 2000,5 Sept 2000,36939,2121,185
Uganda,1758 (XVII),25 Oct 1962,25 Oct 1962,6357,443,47
United Arab Emirates,2794 (XXVI),9 Dec 1971,9 Dec 1971,11424,802,101
United Republic of Tanzania33,1667 (XVI),14 Dec 1961,14 Dec 1961,6000,416,147
Uzbekistan,46/226,2 Mar 1992,2 Mar 1992,28689,1668,213
Vanuatu,36/1,15 Sep 1981,15 Sep 1981,20385,1249,167
Viet Nam34,32/2,20 Sep 1977,1 Sep 1978,16921,1102,209
"Yemen1,35",108 (II),30 Sep 1947,30 Sep 1947,113,8,59
Zambia21,,1 Dec 1964,1 Dec 1964,7498,519,11
Zimbabwe,11/1 (S-XI),25 Aug 1980,25 Aug 1980,19058,1197,323
