Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Iraq,,16 Nov 2012 a
Ireland,15 Oct 2001,30 Jun 2005
Israel,11 Jul 2000,10 Feb 2003
Italy,13 Jan 2000,27 Mar 2003
Jamaica,10 Nov 2001,16 Sep 2005
Japan,30 Oct 2001,11 Jun 2002 A
Jordan,24 Sep 2001,28 Aug 2003
Kazakhstan,,24 Feb 2003 a
Kenya,4 Dec 2001,27 Jun 2003
Kiribati,,15 Sep 2005 a
Kyrgyzstan,,2 Oct 2003 a
Lao People's Democratic Republic,,29 Sep 2008 a
Latvia,18 Dec 2001,14 Nov 2002
Lesotho,6 Sep 2000,12 Nov 2001
Liberia,,5 Mar 2003 a
Libya,13 Nov 2001,9 Jul 2002
Liechtenstein,2 Oct 2001,9 Jul 2003
Lithuania,,20 Feb 2003 a
Luxembourg,20 Sep 2001,5 Nov 2003
Madagascar,1 Oct 2001,24 Sep 2003
Malawi,,11 Aug 2003 a
Malaysia,,29 May 2007 a
Maldives,,20 Apr 2004 a
Mali,11 Nov 2001,28 Mar 2002
Malta,10 Jan 2000,11 Nov 2001
Marshall Islands,,27 Jan 2003 a
Mauritania,,30 Apr 2003 a
Mauritius,11 Nov 2001,14 Dec 2004
Mexico,7 Sep 2000,20 Jan 2003
Micronesia (Federated States of),12 Nov 2001,23 Sep 2002
Monaco,10 Nov 2001,10 Nov 2001
Mongolia,12 Nov 2001,25 Feb 2004
Montenegro,,23 Oct 2006 d
Morocco,12 Oct 2001,19 Sep 2002
Mozambique,11 Nov 2001,14 Jan 2003
Myanmar,12 Nov 2001,16 Aug 2006
Namibia,10 Nov 2001,18 Oct 2012
Nauru,12 Nov 2001,24 May 2005
Nepal,,23 Dec 2011 a
Netherlands,10 Jan 2000,7 Feb 2002 A
New Zealand,7 Sep 2000,4 Nov 2002
Nicaragua,17 Oct 2001,14 Nov 2002
Niger,,30 Sep 2004 a
Nigeria,1 Jun 2000,16 Jun 2003
Niue,,22 Jun 2009 a
Norway,1 Oct 2001,15 Jul 2002
Oman,,10 Nov 2011 a
Pakistan,,17 Jun 2009 a
Palau,,14 Nov 2001 a
Panama,12 Nov 2001,3 Jul 2002
Papua New Guinea,,30 Sep 2003 a
Paraguay,12 Oct 2001,30 Nov 2004
Peru,14 Sep 2000,10 Nov 2001
Philippines,16 Nov 2001,7 Jan 2004
Poland,4 Oct 2001,26 Sep 2003
Portugal,16 Feb 2000,18 Oct 2002
Qatar,,27 Jul 2008 a
Republic of Korea,9 Oct 2001,17 Feb 2004
Republic of Moldova,16 Nov 2001,10 Oct 2002
Romania,26 Sep 2000,9 Jan 2003
Russian Federation,3 Apr 2000,27 Nov 2002
Rwanda,4 Dec 2001,13 May 2002
Samoa,13 Nov 2001,27 Sep 2002
San Marino,26 Sep 2000,12 Mar 2002
Sao Tome and Principe,,12 Apr 2006 a
Saudi Arabia,29 Nov 2001,23 Aug 2007
Senegal,,24 Sep 2004 a
Serbia,12 Nov 2001,10 Oct 2002
Seychelles,15 Nov 2001,30 Mar 2004
Sierra Leone,27 Nov 2001,26 Sep 2003
Singapore,18 Dec 2001,30 Dec 2002
Slovakia,26 Jan 2001,13 Sep 2002
Slovenia,10 Nov 2001,23 Sep 2004
Solomon Islands,,24 Sep 2009 a
Somalia,19 Dec 2001,
South Africa,10 Nov 2001,1 May 2003
Spain,8 Jan 2001,9 Apr 2002
Sri Lanka,10 Jan 2000,8 Sep 2000
St. Kitts and Nevis,12 Nov 2001,16 Nov 2001
St. Lucia,,18 Nov 2011 a
St. Vincent and the Grenadines,3 Dec 2001,28 Mar 2002
Sudan,29 Feb 2000,5 May 2003
Swaziland,,4 Apr 2003 a
Sweden,15 Oct 2001,6 Jun 2002
Switzerland,13 Jun 2001,23 Sep 2003
Syrian Arab Republic,,24 Apr 2005 a
Tajikistan,6 Nov 2001,16 Jul 2004
Thailand,18 Dec 2001,29 Sep 2004
The former Yugoslav Republic of Macedonia,31 Jan 2000,30 Aug 2004
Togo,15 Nov 2001,10 Mar 2003
Tonga,,9 Dec 2002 a
Trinidad and Tobago,,23 Sep 2009 a
Tunisia,2 Nov 2001,10 Jun 2003
Turkey,27 Sep 2001,28 Jun 2002
Turkmenistan,,7 Jan 2005 a
Uganda,13 Nov 2001,5 Nov 2003
Ukraine,8 Jun 2000,6 Dec 2002
United Arab Emirates,,23 Sep 2005 a
United Kingdom of Great Britain and Northern Ireland,10 Jan 2000,7 Mar 2001
United Republic of Tanzania,,22 Jan 2003 a
United States of America,10 Jan 2000,26 Jun 2002
Uruguay,25 Oct 2001,8 Jan 2004
Uzbekistan,13 Dec 2000,9 Jul 2001
Vanuatu,,31 Oct 2005 a
Venezuela (Bolivarian Republic of),16 Nov 2001,23 Sep 2003
Viet Nam,,25 Sep 2002 a
Yemen,,3 Mar 2010 a
Zimbabwe,,30 Jan 2013 a
