Participant,"Signature, Succession to signature(d)","Approval(AA), Acceptance(A), Accession(a), Ratification"
Sao Tome and Principe,19 Dec 2005,
Saudi Arabia,26 Dec 2006,7 Dec 2007
Senegal,21 Sep 2005,
Serbia,15 Sep 2005,26 Sep 2006
Seychelles,7 Oct 2005,
Sierra Leone,14 Sep 2005,
Singapore,1 Dec 2006,
Slovakia,15 Sep 2005,23 Mar 2006
Slovenia,14 Sep 2005,17 Dec 2009
Solomon Islands,,24 Sep 2009 a
South Africa,14 Sep 2005,9 May 2007
Spain,14 Sep 2005,22 Feb 2007
Sri Lanka,14 Sep 2005,27 Sep 2007
St. Lucia,,12 Nov 2012 a
St. Vincent and the Grenadines,,8 Jul 2010 a
Swaziland,15 Sep 2005,
Sweden,14 Sep 2005,
Switzerland,14 Sep 2005,15 Oct 2008
Syrian Arab Republic,14 Sep 2005,
Tajikistan,14 Sep 2005,
Thailand,14 Sep 2005,
The former Yugoslav Republic of Macedonia,16 Sep 2005,19 Mar 2007
Timor-Leste,16 Sep 2005,
Togo,15 Sep 2005,
Tunisia,,28 Sep 2010 a
Turkey,14 Sep 2005,24 Sep 2012
Turkmenistan,,28 Mar 2008 a
Ukraine,14 Sep 2005,25 Sep 2007
United Arab Emirates,,10 Jan 2008 a
United Kingdom of Great Britain and Northern Ireland,14 Sep 2005,24 Sep 2009
United States of America,14 Sep 2005,
Uruguay,16 Sep 2005,
Uzbekistan,,29 Apr 2008 a
