Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Formal confirmation(c), Accession(a), Succession(d)"
Iran (Islamic Republic of),16 Jun 2003,6 Nov 2005
Iraq,29 Jun 2004,17 Mar 2008
Ireland,16 Sep 2003,7 Nov 2005
Israel,20 Jun 2003,24 Aug 2005
Italy,16 Jun 2003,2 Jul 2008
Jamaica,24 Sep 2003,7 Jul 2005
Japan,9 Mar 2004,8 Jun 2004 A
Jordan,28 May 2004,19 Aug 2004
Kazakhstan,21 Jun 2004,22 Jan 2007
Kenya,25 Jun 2004,25 Jun 2004
Kiribati,27 Apr 2004,15 Sep 2005
Kuwait,16 Jun 2003,12 May 2006
Kyrgyzstan,18 Feb 2004,25 May 2006
Lao People's Democratic Republic,29 Jun 2004,6 Sep 2006
Latvia,10 May 2004,10 Feb 2005
Lebanon,4 Mar 2004,7 Dec 2005
Lesotho,23 Jun 2004,14 Jan 2005
Liberia,25 Jun 2004,15 Sep 2009
Libya,18 Jun 2004,7 Jun 2005
Lithuania,22 Sep 2003,16 Dec 2004
Luxembourg,16 Jun 2003,30 Jun 2005
Madagascar,24 Sep 2003,22 Sep 2004
Malaysia,23 Sep 2003,16 Sep 2005
Maldives,17 May 2004,20 May 2004
Mali,23 Sep 2003,19 Oct 2005
Malta,16 Jun 2003,24 Sep 2003
Marshall Islands,16 Jun 2003,8 Dec 2004
Mauritania,24 Jun 2004,28 Oct 2005
Mauritius,17 Jun 2003,17 May 2004
Mexico,12 Aug 2003,28 May 2004
Micronesia (Federated States of),28 Jun 2004,18 Mar 2005
Mongolia,16 Jun 2003,27 Jan 2004
Montenegro,,23 Oct 2006 d
Morocco,16 Apr 2004,
Mozambique,18 Jun 2003,
Myanmar,23 Oct 2003,21 Apr 2004
Namibia,29 Jan 2004,7 Nov 2005
Nauru,,29 Jun 2004 a
Nepal,3 Dec 2003,7 Nov 2006
Netherlands,16 Jun 2003,27 Jan 2005 A
New Zealand,16 Jun 2003,27 Jan 2004
Nicaragua,7 Jun 2004,9 Apr 2008
Niger,28 Jun 2004,25 Aug 2005
Nigeria,28 Jun 2004,20 Oct 2005
Niue,18 Jun 2004,3 Jun 2005
Norway,16 Jun 2003,16 Jun 2003 AA
Oman,,9 Mar 2005 a
Pakistan,18 May 2004,3 Nov 2004
Palau,16 Jun 2003,12 Feb 2004
Panama,26 Sep 2003,16 Aug 2004
Papua New Guinea,22 Jun 2004,25 May 2006
Paraguay,16 Jun 2003,26 Sep 2006
Peru,21 Apr 2004,30 Nov 2004
Philippines,23 Sep 2003,6 Jun 2005
Poland,14 Jun 2004,15 Sep 2006
Portugal,9 Jan 2004,8 Nov 2005 AA
Qatar,17 Jun 2003,23 Jul 2004
Republic of Korea,21 Jul 2003,16 May 2005
Republic of Moldova,29 Jun 2004,3 Feb 2009
Romania,25 Jun 2004,27 Jan 2006
Russian Federation,,3 Jun 2008 a
Rwanda,2 Jun 2004,19 Oct 2005
Samoa,25 Sep 2003,3 Nov 2005
San Marino,26 Sep 2003,7 Jul 2004
Sao Tome and Principe,18 Jun 2004,12 Apr 2006
Saudi Arabia,24 Jun 2004,9 May 2005
Senegal,19 Jun 2003,27 Jan 2005
Serbia,28 Jun 2004,8 Feb 2006
Seychelles,11 Sep 2003,12 Nov 2003
Sierra Leone,,22 May 2009 a
Singapore,29 Dec 2003,14 May 2004
Slovakia,19 Dec 2003,4 May 2004
Slovenia,25 Sep 2003,15 Mar 2005
Solomon Islands,18 Jun 2004,10 Aug 2004
South Africa,16 Jun 2003,19 Apr 2005
Spain,16 Jun 2003,11 Jan 2005
Sri Lanka,23 Sep 2003,11 Nov 2003
St. Kitts and Nevis,29 Jun 2004,21 Jun 2011
St. Lucia,29 Jun 2004,7 Nov 2005
St. Vincent and the Grenadines,14 Jun 2004,29 Oct 2010
Sudan,10 Jun 2004,31 Oct 2005
Suriname,24 Jun 2004,16 Dec 2008
Swaziland,29 Jun 2004,13 Jan 2006
Sweden,16 Jun 2003,7 Jul 2005
Switzerland,25 Jun 2004,
Syrian Arab Republic,11 Jul 2003,22 Nov 2004
Thailand,20 Jun 2003,8 Nov 2004
The former Yugoslav Republic of Macedonia,,30 Jun 2006 a
Timor-Leste,25 May 2004,22 Dec 2004
Togo,12 May 2004,15 Nov 2005
Tonga,25 Sep 2003,8 Apr 2005
Trinidad and Tobago,27 Aug 2003,19 Aug 2004
Tunisia,22 Aug 2003,7 Jun 2010
Turkey,28 Apr 2004,31 Dec 2004
Turkmenistan,,13 May 2011 a
Tuvalu,10 Jun 2004,26 Sep 2005
Uganda,5 Mar 2004,20 Jun 2007
Ukraine,25 Jun 2004,6 Jun 2006
United Arab Emirates,24 Jun 2004,7 Nov 2005
United Kingdom of Great Britain and Northern Ireland,16 Jun 2003,16 Dec 2004
United Republic of Tanzania,27 Jan 2004,30 Apr 2007
United States of America,10 May 2004,
Uruguay,19 Jun 2003,9 Sep 2004
Uzbekistan,,15 May 2012 a
Vanuatu,22 Apr 2004,16 Sep 2005
Venezuela (Bolivarian Republic of),22 Sep 2003,27 Jun 2006
Viet Nam,3 Sep 2003,17 Dec 2004
Yemen,20 Jun 2003,22 Feb 2007
Zambia,,23 May 2008 a
