Participant,"Signature, Succession to signature(d)","Formal confirmation(c), Accession(a), Succession(d), Ratification"
European Union,7 Dec 1984,1 Apr 1998 c
Fiji,10 Dec 1982,10 Dec 1982
Finland,10 Dec 1982,21 Jun 1996
France,10 Dec 1982,11 Apr 1996
Gabon,10 Dec 1982,11 Mar 1998
Gambia,10 Dec 1982,22 May 1984
Georgia,,21 Mar 1996 a
Germany,,14 Oct 1994 a
Ghana,10 Dec 1982,7 Jun 1983
Greece,10 Dec 1982,21 Jul 1995
Grenada,10 Dec 1982,25 Apr 1991
Guatemala,8 Jul 1983,11 Feb 1997
Guinea,4 Oct 1984,6 Sep 1985
Guinea-Bissau,10 Dec 1982,25 Aug 1986
Guyana,10 Dec 1982,16 Nov 1993
Haiti,10 Dec 1982,31 Jul 1996
Honduras,10 Dec 1982,5 Oct 1993
Hungary,10 Dec 1982,5 Feb 2002
Iceland,10 Dec 1982,21 Jun 1985
India,10 Dec 1982,29 Jun 1995
Indonesia,10 Dec 1982,3 Feb 1986
Iran (Islamic Republic of),10 Dec 1982,
Iraq,10 Dec 1982,30 Jul 1985
Ireland,10 Dec 1982,21 Jun 1996
Italy,7 Dec 1984,13 Jan 1995
Jamaica,10 Dec 1982,21 Mar 1983
Japan,7 Feb 1983,20 Jun 1996
Jordan,,27 Nov 1995 a
Kenya,10 Dec 1982,2 Mar 1989
Kiribati,,24 Feb 2003 a
Kuwait,10 Dec 1982,2 May 1986
Lao People's Democratic Republic,10 Dec 1982,5 Jun 1998
Latvia,,23 Dec 2004 a
Lebanon,7 Dec 1984,5 Jan 1995
Lesotho,10 Dec 1982,31 May 2007
Liberia,10 Dec 1982,25 Sep 2008
Libya,3 Dec 1984,
Liechtenstein,30 Nov 1984,
Lithuania,,12 Nov 2003 a
Luxembourg,5 Dec 1984,5 Oct 2000
Madagascar,25 Feb 1983,22 Aug 2001
Malawi,7 Dec 1984,28 Sep 2010
Malaysia,10 Dec 1982,14 Oct 1996
Maldives,10 Dec 1982,7 Sep 2000
Mali,19 Oct 1983,16 Jul 1985
Malta,10 Dec 1982,20 May 1993
Marshall Islands,,9 Aug 1991 a
Mauritania,10 Dec 1982,17 Jul 1996
Mauritius,10 Dec 1982,4 Nov 1994
Mexico,10 Dec 1982,18 Mar 1983
Micronesia (Federated States of),,29 Apr 1991 a
Monaco,10 Dec 1982,20 Mar 1996
Mongolia,10 Dec 1982,13 Aug 1996
Montenegro,,23 Oct 2006 d
Morocco,10 Dec 1982,31 May 2007
Mozambique,10 Dec 1982,13 Mar 1997
Myanmar,10 Dec 1982,21 May 1996
Namibia,10 Dec 1982,18 Apr 1983
Nauru,10 Dec 1982,23 Jan 1996
Nepal,10 Dec 1982,2 Nov 1998
Netherlands,10 Dec 1982,28 Jun 1996
New Zealand,10 Dec 1982,19 Jul 1996
Nicaragua,9 Dec 1984,3 May 2000
Niger,10 Dec 1982,
Nigeria,10 Dec 1982,14 Aug 1986
Niue,5 Dec 1984,11 Oct 2006
Norway,10 Dec 1982,24 Jun 1996
Oman,1 Jul 1983,17 Aug 1989
Pakistan,10 Dec 1982,26 Feb 1997
Palau,,30 Sep 1996 a
Panama,10 Dec 1982,1 Jul 1996
Papua New Guinea,10 Dec 1982,14 Jan 1997
Paraguay,10 Dec 1982,26 Sep 1986
Philippines,10 Dec 1982,8 May 1984
Poland,10 Dec 1982,13 Nov 1998
Portugal,10 Dec 1982,3 Nov 1997
Qatar,27 Nov 1984,9 Dec 2002
Republic of Korea,14 Mar 1983,29 Jan 1996
Republic of Moldova,,6 Feb 2007 a
Romania,10 Dec 1982,17 Dec 1996
Russian Federation,10 Dec 1982,12 Mar 1997
Rwanda,10 Dec 1982,
Samoa,28 Sep 1984,14 Aug 1995
Sao Tome and Principe,13 Jul 1983,3 Nov 1987
Saudi Arabia,7 Dec 1984,24 Apr 1996
Senegal,10 Dec 1982,25 Oct 1984
Serbia,,12 Mar 2001 d
Seychelles,10 Dec 1982,16 Sep 1991
Sierra Leone,10 Dec 1982,12 Dec 1994
Singapore,10 Dec 1982,17 Nov 1994
Slovakia,28 May 1993 d,8 May 1996
Slovenia,,16 Jun 1995 d
Solomon Islands,10 Dec 1982,23 Jun 1997
Somalia,10 Dec 1982,24 Jul 1989
South Africa,5 Dec 1984,23 Dec 1997
Spain,4 Dec 1984,15 Jan 1997
Sri Lanka,10 Dec 1982,19 Jul 1994
St. Kitts and Nevis,7 Dec 1984,7 Jan 1993
St. Lucia,10 Dec 1982,27 Mar 1985
St. Vincent and the Grenadines,10 Dec 1982,1 Oct 1993
Sudan,10 Dec 1982,23 Jan 1985
Suriname,10 Dec 1982,9 Jul 1998
Swaziland,18 Jan 1984,24 Sep 2012
Sweden,10 Dec 1982,25 Jun 1996
Switzerland,17 Oct 1984,1 May 2009
Thailand,10 Dec 1982,15 May 2011
The former Yugoslav Republic of Macedonia,,19 Aug 1994 d
Timor-Leste,,8 Jan 2013 a
Togo,10 Dec 1982,16 Apr 1985
Tonga,,2 Aug 1995 a
Trinidad and Tobago,10 Dec 1982,25 Apr 1986
Tunisia,10 Dec 1982,24 Apr 1985
Tuvalu,10 Dec 1982,9 Dec 2002
Uganda,10 Dec 1982,9 Nov 1990
Ukraine,10 Dec 1982,26 Jul 1999
United Arab Emirates,10 Dec 1982,
United Kingdom of Great Britain and Northern Ireland,,25 Jul 1997 a
United Republic of Tanzania,10 Dec 1982,30 Sep 1985
Uruguay,10 Dec 1982,10 Dec 1992
Vanuatu,10 Dec 1982,10 Aug 1999
Viet Nam,10 Dec 1982,25 Jul 1994
Yemen,10 Dec 1982,21 Jul 1987
Zambia,10 Dec 1982,7 Mar 1983
Zimbabwe,10 Dec 1982,24 Feb 1993
