Participant,Signature,"Ratification, Accession(a), Succession(d)"
New Zealand,,10 Sep 1974 a
Nicaragua,,31 Oct 1975 a
Niger,24 Apr 1963,26 Apr 1966
Nigeria,,22 Jan 1968 a
Norway,24 Apr 1963,13 Feb 1980
Oman,,31 May 1974 a
Pakistan,,14 Apr 1969 a
Panama,4 Dec 1963,28 Aug 1967
Papua New Guinea,,4 Dec 1975 d
Paraguay,,23 Dec 1969 a
Peru,24 Apr 1963,17 Feb 1978
Philippines,24 Apr 1963,15 Nov 1965
Poland,20 Mar 1964,13 Oct 1981
Portugal,,13 Sep 1972 a
Qatar,,4 Nov 1998 a
Republic of Korea,,7 Mar 1977 a
Republic of Moldova,,26 Jan 1993 a
Romania,,24 Feb 1972 a
Russian Federation,,15 Mar 1989 a
Rwanda,,31 May 1974 a
Samoa,,26 Oct 1987 a
Sao Tome and Principe,,3 May 1983 a
Saudi Arabia,,29 Jun 1988 a
Senegal,,29 Apr 1966 a
Serbia,,12 Mar 2001 d
Seychelles,,29 May 1979 a
Singapore,,1 Apr 2005 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Somalia,,29 Mar 1968 a
South Africa,,21 Aug 1989 a
Spain,,3 Feb 1970 a
Sri Lanka,,4 May 2006 a
St. Kitts and Nevis,,6 Jul 2010 a
St. Lucia,,27 Aug 1986 d
St. Vincent and the Grenadines,,27 Apr 1999 d
Sudan,,23 Mar 1995 a
Suriname,,11 Sep 1980 a
Sweden,8 Oct 1963,19 Mar 1974
Switzerland,23 Oct 1963,3 May 1965
Syrian Arab Republic,,13 Oct 1978 a
Tajikistan,,6 May 1996 a
Thailand,,15 Apr 1999 a
The former Yugoslav Republic of Macedonia,,18 Aug 1993 d
Timor-Leste,,30 Jan 2004 a
Togo,,26 Sep 1983 a
Tonga,,7 Jan 1972 a
Trinidad and Tobago,,19 Oct 1965 a
Tunisia,,8 Jul 1964 a
Turkey,,19 Feb 1976 a
Turkmenistan,,25 Sep 1996 a
Tuvalu,,15 Sep 1982 d
Ukraine,,27 Apr 1989 a
United Arab Emirates,,24 Feb 1977 a
United Kingdom of Great Britain and Northern Ireland,27 Mar 1964,9 May 1972
United Republic of Tanzania,,18 Apr 1977 a
United States of America,24 Apr 1963,24 Nov 1969
Uruguay,24 Apr 1963,10 Mar 1970
Uzbekistan,,2 Mar 1992 a
Vanuatu,,18 Aug 1987 a
Venezuela (Bolivarian Republic of),24 Apr 1963,27 Oct 1965
Viet Nam,,8 Sep 1992 a
Yemen,,10 Apr 1986 a
Zimbabwe,,13 May 1991 a
