Participant,Signature,"Provisional application by virtue of a notification (n), Provisional application by virtue of signature, adoption of the Agreement or accession thereto",Notification of non-provisional application under article 7 (1) (b),"Ratification, Formal confirmation(c), Accession(a), Definitive signature(s), Simplified procedure(p), Consent to be bound(P), Succession(d)"
Montenegro,,,,23 Oct 2006 d
Morocco,19 Oct 1994,,19 Oct 1994,31 May 2007
Mozambique,,16 Nov 1994,,13 Mar 1997 a
Myanmar,,16 Nov 1994,,21 May 1996 a
Namibia,29 Jul 1994,16 Nov 1994,,28 Jul 1995 p
Nauru,,,,23 Jan 1996 P
Nepal,,16 Nov 1994,,2 Nov 1998 P
Netherlands,29 Jul 1994,16 Nov 1994,,28 Jun 1996
New Zealand,29 Jul 1994,16 Nov 1994,,19 Jul 1996
Nicaragua,,,,3 May 2000 P
Nigeria,25 Oct 1994,16 Nov 1994,,28 Jul 1995 p
Niue,,,,11 Oct 2006 P
Norway,,16 Nov 1994,,24 Jun 1996 a
Oman,,16 Nov 1994,,26 Feb 1997 a
Pakistan,10 Aug 1994,16 Nov 1994,,26 Feb 1997 P
Palau,,,,30 Sep 1996 P
Panama,,,,1 Jul 1996 P
Papua New Guinea,,16 Nov 1994,,14 Jan 1997 P
Paraguay,29 Jul 1994,16 Nov 1994,,10 Jul 1995
Philippines,15 Nov 1994,16 Nov 1994,,23 Jul 1997
Poland,29 Jul 1994,23 Feb 1995,,13 Nov 1998 P
Portugal,29 Jul 1994,,29 Jul 1994,3 Nov 1997
Qatar,,16 Nov 1994,,9 Dec 2002 P
Republic of Korea,7 Nov 1994,16 Nov 1994,,29 Jan 1996
Republic of Moldova,,16 Nov 1994,,6 Feb 2007 P
Romania,,,4 Oct 1994,17 Dec 1996 a
Russian Federation,,11 Jan 1995,,12 Mar 1997 a
Samoa,7 Jul 1995,16 Nov 1994,,14 Aug 1995 P
Saudi Arabia,,,9 Nov 1994,24 Apr 1996 P
Senegal,9 Aug 1994,16 Nov 1994,,25 Jul 1995
Serbia,12 May 1995,,,28 Jul 1995 p
Seychelles,29 Jul 1994,16 Nov 1994,,15 Dec 1994
Sierra Leone,,16 Nov 1994,,12 Dec 1994 P
Singapore,,16 Nov 1994,,17 Nov 1994 P
Slovakia,14 Nov 1994,16 Nov 1994,,8 May 1996
Slovenia,19 Jan 1995,16 Jun 1995,15 Nov 1994,16 Jun 1995
Solomon Islands,,8 Feb 1995,,23 Jun 1997 P
South Africa,3 Oct 1994,16 Nov 1994,,23 Dec 1997
Spain,29 Jul 1994,,,15 Jan 1997
Sri Lanka,29 Jul 1994,16 Nov 1994,,28 Jul 1995 p
Sudan,29 Jul 1994,16 Nov 1994,,
Suriname,,16 Nov 1994,,9 Jul 1998 P
Swaziland,12 Oct 1994,16 Nov 1994,,24 Sep 2012 P
Sweden,29 Jul 1994,,29 Jul 1994,25 Jun 1996
Switzerland,26 Oct 1994,16 Nov 1994,,1 May 2009
Thailand,,,,15 May 2011 a
The former Yugoslav Republic of Macedonia,,16 Nov 1994,,19 Aug 1994 P
Timor-Leste,,,,8 Jan 2013 P
Togo,3 Aug 1994,16 Nov 1994,,28 Jul 1995 p
Tonga,,,,2 Aug 1995 P
Trinidad and Tobago,10 Oct 1994,16 Nov 1994,,28 Jul 1995 p
Tunisia,15 May 1995,16 Nov 1994,,24 May 2002
Tuvalu,,,,9 Dec 2002 P
Uganda,9 Aug 1994,16 Nov 1994,,28 Jul 1995 p
Ukraine,28 Feb 1995,16 Nov 1994,,26 Jul 1999
United Arab Emirates,,16 Nov 1994,,
United Kingdom of Great Britain and Northern Ireland,29 Jul 1994,16 Nov 1994,,25 Jul 1997
United Republic of Tanzania,7 Oct 1994,16 Nov 1994,,25 Jun 1998
United States of America,29 Jul 1994,16 Nov 1994,,
Uruguay,29 Jul 1994,,29 Jul 1994,7 Aug 2007
Vanuatu,29 Jul 1994,16 Nov 1994,,10 Aug 1999 P
Viet Nam,,16 Nov 1994,,27 Apr 2006 a
Zambia,13 Oct 1994,16 Nov 1994,,28 Jul 1995 p
Zimbabwe,28 Oct 1994,16 Nov 1994,,28 Jul 1995 p
