Participant,Signature,"Ratification, Accession(a), Succession(d)"
Maldives,,21 Aug 1990 a
Mali,,12 Apr 2002 a
Malta,,11 Nov 2001 a
Marshall Islands,,27 Jan 2003 a
Mauritania,,9 Feb 1998 a
Mauritius,,24 Sep 2003 a
Mexico,,22 Apr 1980 a
Micronesia (Federated States of),,6 Jul 2004 a
Monaco,,27 Nov 2002 a
Mongolia,23 Aug 1974,8 Aug 1975
Montenegro,,23 Oct 2006 d
Morocco,,9 Jan 2002 a
Mozambique,,14 Jan 2003 a
Myanmar,,4 Jun 2004 a
Nauru,,2 Aug 2005 a
Nepal,,9 Mar 1990 a
Netherlands,,6 Dec 1988 a
New Zealand,,12 Nov 1985 a
Nicaragua,29 Oct 1974,10 Mar 1975
Niger,,17 Jun 1985 a
Nigeria,,25 Sep 2012 a
Niue,,22 Jun 2009 a
Norway,10 May 1974,28 Apr 1980
Oman,,22 Mar 1988 a
Pakistan,,29 Mar 1976 a
Palau,,14 Nov 2001 a
Panama,,17 Jun 1980 a
Papua New Guinea,,30 Sep 2003 a
Paraguay,25 Oct 1974,24 Nov 1975
Peru,,25 Apr 1978 a
Philippines,,26 Nov 1976 a
Poland,7 Jun 1974,14 Dec 1982
Portugal,,11 Sep 1995 a
Qatar,,3 Mar 1997 a
Republic of Korea,,25 May 1983 a
Republic of Moldova,,8 Sep 1997 a
Romania,27 Dec 1974,15 Aug 1978
Russian Federation,7 Jun 1974,15 Jan 1976
Rwanda,15 Oct 1974,29 Nov 1977
Sao Tome and Principe,,12 Apr 2006 a
Saudi Arabia,,1 Mar 2004 a
Senegal,,7 Apr 2006 a
Serbia,,12 Mar 2001 d
Seychelles,,29 May 1980 a
Sierra Leone,,26 Sep 2003 a
Singapore,,2 May 2008 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,,23 Sep 2003 a
Spain,,8 Aug 1985 a
Sri Lanka,,27 Feb 1991 a
St. Kitts and Nevis,,28 Jul 2008 a
St. Lucia,,12 Nov 2012 a
St. Vincent and the Grenadines,,12 Sep 2000 a
Sudan,,10 Oct 1994 a
Swaziland,,4 Apr 2003 a
Sweden,10 May 1974,1 Jul 1975
Switzerland,,5 Mar 1985 a
Syrian Arab Republic,,25 Apr 1988 a
Tajikistan,,19 Oct 2001 a
Thailand,,23 Feb 2007 a
The former Yugoslav Republic of Macedonia,,12 Mar 1998 d
Togo,,30 Dec 1980 a
Tonga,,9 Dec 2002 a
Trinidad and Tobago,,15 Jun 1979 a
Tunisia,15 May 1974,21 Jan 1977
Turkey,,11 Jun 1981 a
Turkmenistan,,25 Jun 1999 a
Uganda,,5 Nov 2003 a
Ukraine,18 Jun 1974,20 Jan 1976
United Arab Emirates,,25 Feb 2003 a
United Kingdom of Great Britain and Northern Ireland,13 Dec 1974,2 May 1979
United States of America,28 Dec 1973,26 Oct 1976
Uruguay,,13 Jun 1978 a
Uzbekistan,,19 Jan 1998 a
Venezuela (Bolivarian Republic of),,19 Apr 2005 a
Viet Nam,,2 May 2002 a
Yemen,,9 Feb 1987 a
