Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)"
Mauritania,,22 Jul 2005 a
Mauritius,,24 Sep 2003 a
Mexico,13 Dec 2000,4 Mar 2003
Monaco,13 Dec 2000,5 Jun 2001
Mongolia,,27 Jun 2008 a
Montenegro,,23 Oct 2006 d
Mozambique,15 Dec 2000,20 Sep 2006
Myanmar,,30 Mar 2004 a
Namibia,13 Dec 2000,16 Aug 2002
Nauru,12 Nov 2001,12 Jul 2012
Netherlands,12 Dec 2000,27 Jul 2005 A
New Zealand,14 Dec 2000,19 Jul 2002
Nicaragua,,15 Feb 2006 a
Niger,,18 Mar 2009 a
Nigeria,13 Dec 2000,27 Sep 2001
Norway,13 Dec 2000,23 Sep 2003
Oman,,13 May 2005 a
Panama,13 Dec 2000,18 Aug 2004
Paraguay,,23 Sep 2008 a
Peru,14 Dec 2000,23 Jan 2002
Philippines,14 Dec 2000,28 May 2002
Poland,4 Oct 2001,26 Sep 2003
Portugal,12 Dec 2000,10 May 2004
Republic of Korea,13 Dec 2000,
Republic of Moldova,14 Dec 2000,16 Sep 2005
Romania,14 Dec 2000,4 Dec 2002
Russian Federation,12 Dec 2000,26 May 2004
Rwanda,14 Dec 2000,4 Oct 2006
San Marino,14 Dec 2000,20 Jul 2010
Sao Tome and Principe,,12 Apr 2006 a
Saudi Arabia,10 Dec 2002,20 Jul 2007
Senegal,13 Dec 2000,27 Oct 2003
Serbia,12 Dec 2000,6 Sep 2001
Seychelles,22 Jul 2002,22 Jun 2004
Sierra Leone,27 Nov 2001,
Slovakia,15 Nov 2001,21 Sep 2004
Slovenia,15 Nov 2001,21 May 2004
South Africa,14 Dec 2000,20 Feb 2004
Spain,13 Dec 2000,1 Mar 2002
Sri Lanka,13 Dec 2000,
St. Kitts and Nevis,,21 May 2004 a
St. Vincent and the Grenadines,20 Nov 2002,29 Oct 2010
Suriname,,25 May 2007 a
Swaziland,8 Jan 2001,24 Sep 2012
Sweden,12 Dec 2000,6 Sep 2006
Switzerland,2 Apr 2002,27 Oct 2006
Syrian Arab Republic,13 Dec 2000,8 Apr 2009
Tajikistan,,8 Jul 2002 a
Thailand,18 Dec 2001,
The former Yugoslav Republic of Macedonia,12 Dec 2000,12 Jan 2005
Timor-Leste,,9 Nov 2009 a
Togo,12 Dec 2000,28 Sep 2010
Trinidad and Tobago,26 Sep 2001,6 Nov 2007
Tunisia,13 Dec 2000,14 Jul 2003
Turkey,13 Dec 2000,25 Mar 2003
Turkmenistan,,28 Mar 2005 a
Uganda,12 Dec 2000,
Ukraine,15 Nov 2001,21 May 2004
United Kingdom of Great Britain and Northern Ireland,14 Dec 2000,9 Feb 2006
United Republic of Tanzania,13 Dec 2000,24 May 2006
United States of America,13 Dec 2000,3 Nov 2005
Uruguay,13 Dec 2000,4 Mar 2005
Uzbekistan,28 Jun 2001,
Venezuela (Bolivarian Republic of),14 Dec 2000,19 Apr 2005
Zambia,,24 Apr 2005 a
