Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d)",Notification under article 25
Sweden,28 Sep 1979,28 Jul 1980,10 Jun 1985
Switzerland,19 Sep 1979,10 Feb 1981,10 Jun 1985
Syrian Arab Republic,1 Feb 1980,6 Dec 1982,12 Jun 1985
Tajikistan,,9 Jun 1993 a,
Thailand,8 Apr 1979,29 Jan 1981,10 Jun 1985
The former Yugoslav Republic of Macedonia,,27 May 1993 a,
Timor-Leste,,31 Jul 2003 a,
Togo,20 Dec 1979,18 Sep 1981,25 Jun 1985
Tonga,,13 Aug 1986 a,
Trinidad and Tobago,14 Apr 1980,2 May 1980,15 Jul 1985
Tunisia,8 Apr 1979,2 Feb 1981,13 Jun 1985
Turkey,8 Apr 1979,5 May 1982,10 Jun 1985
Turkmenistan,,16 Feb 1995 a,
Tuvalu,,13 Sep 2011 a,
Uganda,8 Apr 1979,23 Mar 1983,5 Dec 1985
Ukraine,12 Dec 1980,10 Jun 1985,10 Jun 1985
United Arab Emirates,4 Dec 1981,4 Dec 1981,1 Aug 1985
United Kingdom of Great Britain and Northern Ireland,[  5 Oct 1979 ],[  7 Jul 1983 ],[10 Jun 1985 ]
United Republic of Tanzania,12 May 1980,3 Oct 1980,10 Jun 1985
United States of America,[17 Jan 1980 ],[  2 Sep 1983 ],[10 Jun 1985 ]
Uruguay,5 May 1980,24 Dec 1980,10 Jun 1985
Uzbekistan,,26 Apr 1994 a,
Vanuatu,,17 Aug 1987 a,
Venezuela (Bolivarian Republic of),5 Oct 1979,28 Jan 1983,10 Jun 1985
Viet Nam,16 Jun 1981,6 May 1983 AA,19 Jul 1985
Yemen,8 Apr 1979,29 Jan 1982,29 Jul 1985
Zambia,5 Oct 1979,15 May 1981,10 Jun 1985
Zimbabwe,,21 Jun 1985 a,
