Participant,Signature,"Ratification, Accession(a), Succession(d)"
Fiji,,21 Jun 1971 d
Finland,20 Oct 1961,9 Dec 1969
France,30 Mar 1962,31 Dec 1970
Gabon,,2 Apr 1964 a
Gambia,,28 Mar 2013 a
Georgia,,12 Jul 1993 a
Germany,18 Apr 1961,11 Nov 1964
Ghana,18 Apr 1961,28 Jun 1962
Greece,29 Mar 1962,16 Jul 1970
Grenada,,2 Sep 1992 a
Guatemala,18 Apr 1961,1 Oct 1963
Guinea,,10 Jan 1968 a
Guinea-Bissau,,11 Aug 1993 a
Guyana,,28 Dec 1972 a
Haiti,,2 Feb 1978 a
Holy See,18 Apr 1961,17 Apr 1964
Honduras,,13 Feb 1968 a
Hungary,18 Apr 1961,24 Sep 1965
Iceland,,18 May 1971 a
India,,15 Oct 1965 a
Indonesia,,4 Jun 1982 a
Iran (Islamic Republic of),27 May 1961,3 Feb 1965
Iraq,20 Feb 1962,15 Oct 1963
Ireland,18 Apr 1961,10 May 1967
Israel,18 Apr 1961,11 Aug 1970
Italy,13 Mar 1962,25 Jun 1969
Jamaica,,5 Jun 1963 a
Japan,26 Mar 1962,8 Jun 1964
Jordan,,29 Jul 1971 a
Kazakhstan,,5 Jan 1994 a
Kenya,,1 Jul 1965 a
Kiribati,,2 Apr 1982 d
Kuwait,,23 Jul 1969 a
Kyrgyzstan,,7 Oct 1994 a
Lao People's Democratic Republic,,3 Dec 1962 a
Latvia,,13 Feb 1992 a
Lebanon,18 Apr 1961,16 Mar 1971
Lesotho,,26 Nov 1969 a
Liberia,18 Apr 1961,15 May 1962
Libya,,7 Jun 1977 a
Liechtenstein,18 Apr 1961,8 May 1964
Lithuania,,15 Jan 1992 a
Luxembourg,2 Feb 1962,17 Aug 1966
Madagascar,,31 Jul 1963 a
Malawi,,19 May 1965 a
Malaysia,,9 Nov 1965 a
Maldives,,2 Oct 2007 a
Mali,,28 Mar 1968 a
Malta,,7 Mar 1967 d
Marshall Islands,,9 Aug 1991 a
Mauritania,,16 Jul 1962 a
Mauritius,,18 Jul 1969 d
Mexico,18 Apr 1961,16 Jun 1965
Micronesia (Federated States of),,29 Apr 1991 a
Monaco,,4 Oct 2005 a
Mongolia,,5 Jan 1967 a
Montenegro,,23 Oct 2006 d
Morocco,,19 Jun 1968 a
Mozambique,,18 Nov 1981 a
Myanmar,,7 Mar 1980 a
Namibia,,14 Sep 1992 a
Nauru,,5 May 1978 d
Nepal,,28 Sep 1965 a
Netherlands,,7 Sep 1984 a
New Zealand,28 Mar 1962,23 Sep 1970
Nicaragua,,31 Oct 1975 a
Niger,,5 Dec 1962 a
Nigeria,31 Mar 1962,19 Jun 1967
Norway,18 Apr 1961,24 Oct 1967
Oman,,31 May 1974 a
Pakistan,29 Mar 1962,29 Mar 1962
Panama,18 Apr 1961,4 Dec 1963
Papua New Guinea,,4 Dec 1975 d
Paraguay,,23 Dec 1969 a
Peru,,18 Dec 1968 a
Philippines,20 Oct 1961,15 Nov 1965
Poland,18 Apr 1961,19 Apr 1965
Portugal,,11 Sep 1968 a
Qatar,,6 Jun 1986 a
Republic of Korea,28 Mar 1962,28 Dec 1970
Republic of Moldova,,26 Jan 1993 a
Romania,18 Apr 1961,15 Nov 1968
Russian Federation,18 Apr 1961,25 Mar 1964
Rwanda,,15 Apr 1964 a
Samoa,,26 Oct 1987 a
San Marino,25 Oct 1961,8 Sep 1965
Sao Tome and Principe,,3 May 1983 a
Saudi Arabia,,10 Feb 1981 a
Senegal,18 Apr 1961,12 Oct 1972
Serbia,,12 Mar 2001 d
Seychelles,,29 May 1979 a
Sierra Leone,,13 Aug 1962 a
Singapore,,1 Apr 2005 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Somalia,,29 Mar 1968 a
South Africa,28 Mar 1962,21 Aug 1989
Spain,,21 Nov 1967 a
Sri Lanka,18 Apr 1961,2 Jun 1978
St. Kitts and Nevis,,6 Jul 2010 a
St. Lucia,,27 Aug 1986 d
St. Vincent and the Grenadines,,27 Apr 1999 d
Sudan,,13 Apr 1981 a
Suriname,,28 Oct 1992 a
Swaziland,,25 Apr 1969 a
Sweden,18 Apr 1961,21 Mar 1967
Switzerland,18 Apr 1961,30 Oct 1963
Syrian Arab Republic,,4 Aug 1978 a
Tajikistan,,6 May 1996 a
Thailand,30 Oct 1961,23 Jan 1985
The former Yugoslav Republic of Macedonia,,18 Aug 1993 d
Timor-Leste,,30 Jan 2004 a
Togo,,27 Nov 1970 a
Tonga,,31 Jan 1973 d
Trinidad and Tobago,,19 Oct 1965 a
Tunisia,,24 Jan 1968 a
Turkey,,6 Mar 1985 a
Turkmenistan,,25 Sep 1996 a
Tuvalu,,15 Sep 1982 d
Uganda,,15 Apr 1965 a
Ukraine,18 Apr 1961,12 Jun 1964
United Arab Emirates,,24 Feb 1977 a
United Kingdom of Great Britain and Northern Ireland,11 Dec 1961,1 Sep 1964
United Republic of Tanzania,27 Feb 1962,5 Nov 1962
United States of America,29 Jun 1961,13 Nov 1972
Uruguay,18 Apr 1961,10 Mar 1970
Uzbekistan,,2 Mar 1992 a
Venezuela (Bolivarian Republic of),18 Apr 1961,16 Mar 1965
Viet Nam,,26 Aug 1980 a
Yemen,,24 Nov 1976 a
Zambia,,16 Jun 1975 d
Zimbabwe,,13 May 1991 a
