Participant,Signature,"Ratification, Accession(a), Succession(d)"
Guatemala,,21 Mar 1984 a
Guinea,,23 Jan 1991 a
Haiti,,5 Dec 1983 a
Holy See,,14 May 1975 a
Honduras,,3 Oct 2000 a
Hungary,,5 Mar 1962 a
Iceland,,24 Jan 2002 a
India,10 Jun 1958,13 Jul 1960
Indonesia,,7 Oct 1981 a
Iran (Islamic Republic of),,15 Oct 2001 a
Ireland,,12 May 1981 a
Israel,10 Jun 1958,5 Jan 1959
Italy,,31 Jan 1969 a
Jamaica,,10 Jul 2002 a
Japan,,20 Jun 1961 a
Jordan,10 Jun 1958,15 Nov 1979
Kazakhstan,,20 Nov 1995 a
Kenya,,10 Feb 1989 a
Kuwait,,28 Apr 1978 a
Kyrgyzstan,,18 Dec 1996 a
Lao People's Democratic Republic,,17 Jun 1998 a
Latvia,,14 Apr 1992 a
Lebanon,,11 Aug 1998 a
Lesotho,,13 Jun 1989 a
Liberia,,16 Sep 2005 a
Liechtenstein,,7 Jul 2011 a
Lithuania,,14 Mar 1995 a
Luxembourg,11 Nov 1958,9 Sep 1983
Madagascar,,16 Jul 1962 a
Malaysia,,5 Nov 1985 a
Mali,,8 Sep 1994 a
Malta,,22 Jun 2000 a
Marshall Islands,,21 Dec 2006 a
Mauritania,,30 Jan 1997 a
Mauritius,,19 Jun 1996 a
Mexico,,14 Apr 1971 a
Monaco,31 Dec 1958,2 Jun 1982
Mongolia,,24 Oct 1994 a
Montenegro,,23 Oct 2006 d
Morocco,,12 Feb 1959 a
Mozambique,,11 Jun 1998 a
Myanmar,,16 Apr 2013 a
Nepal,,4 Mar 1998 a
Netherlands,10 Jun 1958,24 Apr 1964
New Zealand,,6 Jan 1983 a
Nicaragua,,24 Sep 2003 a
Niger,,14 Oct 1964 a
Nigeria,,17 Mar 1970 a
Norway,,14 Mar 1961 a
Oman,,25 Feb 1999 a
Pakistan,30 Dec 1958,14 Jul 2005
Panama,,10 Oct 1984 a
Paraguay,,8 Oct 1997 a
Peru,,7 Jul 1988 a
Philippines,10 Jun 1958,6 Jul 1967
Poland,10 Jun 1958,3 Oct 1961
Portugal,,18 Oct 1994 a
Qatar,,30 Dec 2002 a
Republic of Korea,,8 Feb 1973 a
Republic of Moldova,,18 Sep 1998 a
Romania,,13 Sep 1961 a
Russian Federation,29 Dec 1958,24 Aug 1960
Rwanda,,31 Oct 2008 a
San Marino,,17 May 1979 a
Sao Tome and Principe,,20 Nov 2012 a
Saudi Arabia,,19 Apr 1994 a
Senegal,,17 Oct 1994 a
Serbia,,12 Mar 2001 d
Singapore,,21 Aug 1986 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,,3 May 1976 a
Spain,,12 May 1977 a
Sri Lanka,30 Dec 1958,9 Apr 1962
St. Vincent and the Grenadines,,12 Sep 2000 a
Sweden,23 Dec 1958,28 Jan 1972
Switzerland,29 Dec 1958,1 Jun 1965
Syrian Arab Republic,,9 Mar 1959 a
Tajikistan,,14 Aug 2012 a
Thailand,,21 Dec 1959 a
The former Yugoslav Republic of Macedonia,,10 Mar 1994 d
Trinidad and Tobago,,14 Feb 1966 a
Tunisia,,17 Jul 1967 a
Turkey,,2 Jul 1992 a
Uganda,,12 Feb 1992 a
Ukraine,29 Dec 1958,10 Oct 1960
United Arab Emirates,,21 Aug 2006 a
United Kingdom of Great Britain and Northern Ireland,,24 Sep 1975 a
United Republic of Tanzania,,13 Oct 1964 a
United States of America,,30 Sep 1970 a
Uruguay,,30 Mar 1983 a
Uzbekistan,,7 Feb 1996 a
Venezuela (Bolivarian Republic of),,8 Feb 1995 a
Viet Nam,,12 Sep 1995 a
Zambia,,14 Mar 2002 a
Zimbabwe,,29 Sep 1994 a
