Participant,Signature,"Ratification, Accession(a), Succession(d)"
Malta,,8 Mar 1991 a
Marshall Islands,,2 Mar 2006 a
Mauritania,,10 May 2001 a
Mauritius,,9 Jul 1984 a
Mexico,17 Jul 1980,23 Mar 1981
Micronesia (Federated States of),,1 Sep 2004 a
Monaco,,18 Mar 2005 a
Mongolia,17 Jul 1980,20 Jul 1981
Montenegro,,23 Oct 2006 d
Morocco,,21 Jun 1993 a
Mozambique,,21 Apr 1997 a
Myanmar,,22 Jul 1997 a
Namibia,,23 Nov 1992 a
Nauru,,23 Jun 2011 a
Nepal,5 Feb 1991,22 Apr 1991
Netherlands,17 Jul 1980,23 Jul 1991
New Zealand,17 Jul 1980,10 Jan 1985
Nicaragua,17 Jul 1980,27 Oct 1981
Niger,,8 Oct 1999 a
Nigeria,23 Apr 1984,13 Jun 1985
Norway,17 Jul 1980,21 May 1981
Oman,,7 Feb 2006 a
Pakistan,,12 Mar 1996 a
Palau,20 Sep 2011,
Panama,26 Jun 1980,29 Oct 1981
Papua New Guinea,,12 Jan 1995 a
Paraguay,,6 Apr 1987 a
Peru,23 Jul 1981,13 Sep 1982
Philippines,15 Jul 1980,5 Aug 1981
Poland,29 May 1980,30 Jul 1980
Portugal,24 Apr 1980,30 Jul 1980
Qatar,,29 Apr 2009 a
Republic of Korea,25 May 1983,27 Dec 1984
Republic of Moldova,,1 Jul 1994 a
Romania,4 Sep 1980,7 Jan 1982
Russian Federation,17 Jul 1980,23 Jan 1981
Rwanda,1 May 1980,2 Mar 1981
Samoa,,25 Sep 1992 a
San Marino,26 Sep 2003,10 Dec 2003
Sao Tome and Principe,31 Oct 1995,3 Jun 2003
Saudi Arabia,7 Sep 2000,7 Sep 2000
Senegal,29 Jul 1980,5 Feb 1985
Serbia,,12 Mar 2001 d
Seychelles,,5 May 1992 a
Sierra Leone,21 Sep 1988,11 Nov 1988
Singapore,,5 Oct 1995 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,,6 May 2002 a
South Africa,29 Jan 1993,15 Dec 1995
Spain,17 Jul 1980,5 Jan 1984
Sri Lanka,17 Jul 1980,5 Oct 1981
St. Kitts and Nevis,,25 Apr 1985 a
St. Lucia,,8 Oct 1982 a
St. Vincent and the Grenadines,,4 Aug 1981 a
Suriname,,1 Mar 1993 a
Swaziland,,26 Mar 2004 a
Sweden,7 Mar 1980,2 Jul 1980
Switzerland,23 Jan 1987,27 Mar 1997
Syrian Arab Republic,,28 Mar 2003 a
Tajikistan,,26 Oct 1993 a
Thailand,,9 Aug 1985 a
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Timor-Leste,,16 Apr 2003 a
Togo,,26 Sep 1983 a
Trinidad and Tobago,27 Jun 1985,12 Jan 1990
Tunisia,24 Jul 1980,20 Sep 1985
Turkey,,20 Dec 1985 a
Turkmenistan,,1 May 1997 a
Tuvalu,,6 Oct 1999 a
Uganda,30 Jul 1980,22 Jul 1985
Ukraine,17 Jul 1980,12 Mar 1981
United Arab Emirates,,6 Oct 2004 a
United Kingdom of Great Britain and Northern Ireland,22 Jul 1981,7 Apr 1986
United Republic of Tanzania,17 Jul 1980,20 Aug 1985
United States of America,17 Jul 1980,
Uruguay,30 Mar 1981,9 Oct 1981
Uzbekistan,,19 Jul 1995 a
Vanuatu,,8 Sep 1995 a
Venezuela (Bolivarian Republic of),17 Jul 1980,2 May 1983
Viet Nam,29 Jul 1980,17 Feb 1982
Yemen,,30 May 1984 a
Zambia,17 Jul 1980,21 Jun 1985
Zimbabwe,,13 May 1991 a
