Participant,Signature,"Accession(a), Succession(d), Ratification"
St. Kitts and Nevis,,13 Oct 2006 a
St. Lucia,,14 Feb 1990 d
St. Vincent and the Grenadines,,9 Nov 1981 a
State of Palestine,,2 Apr 2014 a
Sudan,,21 Mar 1977 a
Suriname,,15 Mar 1984 d
Swaziland,,7 Apr 1969 a
Sweden,5 May 1966,6 Dec 1971
Switzerland,,29 Nov 1994 a
Syrian Arab Republic,,21 Apr 1969 a
Tajikistan,,11 Jan 1995 a
Thailand,,28 Jan 2003 a
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Timor-Leste,,16 Apr 2003 a
Togo,,1 Sep 1972 a
Tonga,,16 Feb 1972 a
Trinidad and Tobago,9 Jun 1967,4 Oct 1973
Tunisia,12 Apr 1966,13 Jan 1967
Turkey,13 Oct 1972,16 Sep 2002
Turkmenistan,,29 Sep 1994 a
Uganda,,21 Nov 1980 a
Ukraine,7 Mar 1966,7 Mar 1969
United Arab Emirates,,20 Jun 1974 a
United Kingdom of Great Britain and Northern Ireland,11 Oct 1966,7 Mar 1969
United Republic of Tanzania,,27 Oct 1972 a
United States of America,28 Sep 1966,21 Oct 1994
Uruguay,21 Feb 1967,30 Aug 1968
Uzbekistan,,28 Sep 1995 a
Venezuela (Bolivarian Republic of),21 Apr 1967,10 Oct 1967
Viet Nam,,9 Jun 1982 a
Yemen,,18 Oct 1972 a
Zambia,11 Oct 1968,4 Feb 1972
Zimbabwe,,13 May 1991 a
