Participant,Signature,"Ratification, Accession(a), Acceptance(A), Succession(d)"
Iceland,13 Jan 1993,28 Apr 1997
India,14 Jan 1993,3 Sep 1996
Indonesia,13 Jan 1993,12 Nov 1998
Iran (Islamic Republic of),13 Jan 1993,3 Nov 1997
Iraq,,13 Jan 2009 a
Ireland,14 Jan 1993,24 Jun 1996
Israel,13 Jan 1993,
Italy,13 Jan 1993,8 Dec 1995
Jamaica,18 Apr 1997,8 Sep 2000
Japan,13 Jan 1993,15 Sep 1995
Jordan,,29 Oct 1997 a
Kazakhstan,14 Jan 1993,23 Mar 2000
Kenya,15 Jan 1993,25 Apr 1997
Kiribati,,7 Sep 2000 a
Kuwait,27 Jan 1993,29 May 1997
Kyrgyzstan,22 Feb 1993,29 Sep 2003
Lao People's Democratic Republic,13 May 1993,25 Feb 1997
Latvia,6 May 1993,23 Jul 1996
Lebanon,,20 Nov 2008 a
Lesotho,7 Dec 1994,7 Dec 1994
Liberia,15 Jan 1993,23 Feb 2006
Libya,,6 Jan 2004 a
Liechtenstein,21 Jul 1993,24 Nov 1999
Lithuania,13 Jan 1993,15 Apr 1998
Luxembourg,13 Jan 1993,15 Apr 1997
Madagascar,15 Jan 1993,20 Oct 2004
Malawi,14 Jan 1993,11 Jun 1998
Malaysia,13 Jan 1993,20 Apr 2000
Maldives,4 Oct 1993,31 May 1994
Mali,13 Jan 1993,28 Apr 1997
Malta,13 Jan 1993,28 Apr 1997
Marshall Islands,13 Jan 1993,19 May 2004
Mauritania,13 Jan 1993,9 Feb 1998
Mauritius,14 Jan 1993,9 Feb 1993
Mexico,13 Jan 1993,29 Aug 1994
Micronesia (Federated States of),13 Jan 1993,21 Jun 1999
Monaco,13 Jan 1993,1 Jun 1995
Mongolia,14 Jan 1993,17 Jan 1995
Montenegro,,23 Oct 2006 d
Morocco,13 Jan 1993,28 Dec 1995
Mozambique,,15 Aug 2000 a
Myanmar,14 Jan 1993,
Namibia,13 Jan 1993,24 Nov 1995
Nauru,13 Jan 1993,12 Nov 2001
Nepal,19 Jan 1993,18 Nov 1997
Netherlands,14 Jan 1993,30 Jun 1995
New Zealand,14 Jan 1993,15 Jul 1996
Nicaragua,9 Mar 1993,5 Nov 1999
Niger,14 Jan 1993,9 Apr 1997
Nigeria,13 Jan 1993,20 May 1999
Niue,,21 Apr 2005 a
Norway,13 Jan 1993,7 Apr 1994
Oman,2 Feb 1993,8 Feb 1995
Pakistan,13 Jan 1993,28 Oct 1997
Palau,,3 Feb 2003 a
Panama,16 Jun 1993,7 Oct 1998
Papua New Guinea,14 Jan 1993,17 Apr 1996
Paraguay,14 Jan 1993,1 Dec 1994
Peru,14 Jan 1993,20 Jul 1995
Philippines,13 Jan 1993,11 Dec 1996
Poland,13 Jan 1993,23 Aug 1995
Portugal,13 Jan 1993,10 Sep 1996
Qatar,1 Feb 1993,3 Sep 1997
Republic of Korea,14 Jan 1993,28 Apr 1997
Republic of Moldova,13 Jan 1993,8 Jul 1996
Romania,13 Jan 1993,15 Feb 1995
Russian Federation,13 Jan 1993,5 Nov 1997
Rwanda,17 May 1993,31 Mar 2004
Samoa,14 Jan 1993,27 Sep 2002
San Marino,13 Jan 1993,10 Dec 1999
Sao Tome and Principe,,9 Sep 2003 A
Saudi Arabia,20 Jan 1993,9 Aug 1996
Senegal,13 Jan 1993,20 Jul 1998
Serbia,,20 Apr 2000 a
Seychelles,15 Jan 1993,7 Apr 1993
Sierra Leone,15 Jan 1993,30 Sep 2004
Singapore,14 Jan 1993,21 May 1997
Slovakia,14 Jan 1993,27 Oct 1995
Slovenia,14 Jan 1993,11 Jun 1997
Solomon Islands,,23 Sep 2004 a
Somalia,,29 May 2013 a
South Africa,14 Jan 1993,13 Sep 1995
Spain,13 Jan 1993,3 Aug 1994
Sri Lanka,14 Jan 1993,19 Aug 1994
St. Kitts and Nevis,16 Mar 1994,21 May 2004
St. Lucia,29 Mar 1993,9 Apr 1997
St. Vincent and the Grenadines,20 Sep 1993,18 Sep 2002
Sudan,,24 May 1999 a
Suriname,28 Apr 1997,28 Apr 1997
Swaziland,23 Sep 1993,20 Nov 1996
Sweden,13 Jan 1993,17 Jun 1993
Switzerland,14 Jan 1993,10 Mar 1995
Syrian Arab Republic,,14 Sep 2013 a
Tajikistan,14 Jan 1993,11 Jan 1995
Thailand,14 Jan 1993,10 Dec 2002
The former Yugoslav Republic of Macedonia,,20 Jun 1997 a
Timor-Leste,,7 May 2003 a
Togo,13 Jan 1993,23 Apr 1997
Tonga,,29 May 2003 a
Trinidad and Tobago,,24 Jun 1997 a
Tunisia,13 Jan 1993,15 Apr 1997
Turkey,14 Jan 1993,12 May 1997
Turkmenistan,12 Oct 1993,29 Sep 1994
Tuvalu,,19 Jan 2004 a
Uganda,14 Jan 1993,30 Nov 2001
Ukraine,13 Jan 1993,16 Oct 1998
United Arab Emirates,2 Feb 1993,28 Nov 2000
United Kingdom of Great Britain and Northern Ireland,13 Jan 1993,13 May 1996
United Republic of Tanzania,25 Feb 1994,25 Jun 1998
United States of America,13 Jan 1993,25 Apr 1997
Uruguay,15 Jan 1993,6 Oct 1994
Uzbekistan,24 Nov 1995,23 Jul 1996
Vanuatu,,16 Sep 2005 a
Venezuela (Bolivarian Republic of),14 Jan 1993,3 Dec 1997
Viet Nam,13 Jan 1993,30 Sep 1998
Yemen,8 Feb 1993,2 Oct 2000
Zambia,13 Jan 1993,9 Feb 2001
Zimbabwe,13 Jan 1993,25 Apr 1997
