Participant,Signature,"Formal confirmation(c), Accession(a), Ratification"
European Union,30 Mar 2007,23 Dec 2010 c
Fiji,2 Jun 2010,
Finland,30 Mar 2007,
France,30 Mar 2007,18 Feb 2010
Gabon,30 Mar 2007,1 Oct 2007
Georgia,10 Jul 2009,13 Mar 2014
Germany,30 Mar 2007,24 Feb 2009
Ghana,30 Mar 2007,31 Jul 2012
Greece,30 Mar 2007,31 May 2012
Grenada,12 Jul 2010,
Guatemala,30 Mar 2007,7 Apr 2009
Guinea,16 May 2007,8 Feb 2008
Guinea-Bissau,24 Sep 2013,
Guyana,11 Apr 2007,
Haiti,,23 Jul 2009 a
Honduras,30 Mar 2007,14 Apr 2008
Hungary,30 Mar 2007,20 Jul 2007
Iceland,30 Mar 2007,
India,30 Mar 2007,1 Oct 2007
Indonesia,30 Mar 2007,30 Nov 2011
Iran (Islamic Republic of),,23 Oct 2009 a
Iraq,,20 Mar 2013 a
Ireland,30 Mar 2007,
Israel,30 Mar 2007,28 Sep 2012
Italy,30 Mar 2007,15 May 2009
Jamaica,30 Mar 2007,30 Mar 2007
Japan,28 Sep 2007,20 Jan 2014
Jordan,30 Mar 2007,31 Mar 2008
Kazakhstan,11 Dec 2008,
Kenya,30 Mar 2007,19 May 2008
Kiribati,,27 Sep 2013 a
Kuwait,,22 Aug 2013 a
Kyrgyzstan,21 Sep 2011,
Lao People's Democratic Republic,15 Jan 2008,25 Sep 2009
Latvia,18 Jul 2008,1 Mar 2010
Lebanon,14 Jun 2007,
Lesotho,,2 Dec 2008 a
Liberia,30 Mar 2007,26 Jul 2012
Libya,1 May 2008,
Lithuania,30 Mar 2007,18 Aug 2010
Luxembourg,30 Mar 2007,26 Sep 2011
Madagascar,25 Sep 2007,
Malawi,27 Sep 2007,27 Aug 2009
Malaysia,8 Apr 2008,19 Jul 2010
Maldives,2 Oct 2007,5 Apr 2010
Mali,15 May 2007,7 Apr 2008
Malta,30 Mar 2007,10 Oct 2012
Mauritania,,3 Apr 2012 a
Mauritius,25 Sep 2007,8 Jan 2010
Mexico,30 Mar 2007,17 Dec 2007
Micronesia (Federated States of),23 Sep 2011,
Monaco,23 Sep 2009,
Mongolia,,13 May 2009 a
Montenegro,27 Sep 2007,2 Nov 2009
Morocco,30 Mar 2007,8 Apr 2009
Mozambique,30 Mar 2007,30 Jan 2012
Myanmar,,7 Dec 2011 a
Namibia,25 Apr 2007,4 Dec 2007
Nauru,,27 Jun 2012 a
Nepal,3 Jan 2008,7 May 2010
Netherlands,30 Mar 2007,
New Zealand,30 Mar 2007,25 Sep 2008
Nicaragua,30 Mar 2007,7 Dec 2007
Niger,30 Mar 2007,24 Jun 2008
Nigeria,30 Mar 2007,24 Sep 2010
Norway,30 Mar 2007,3 Jun 2013
Oman,17 Mar 2008,6 Jan 2009
Pakistan,25 Sep 2008,5 Jul 2011
Palau,20 Sep 2011,11 Jun 2013
Panama,30 Mar 2007,7 Aug 2007
Papua New Guinea,2 Jun 2011,26 Sep 2013
Paraguay,30 Mar 2007,3 Sep 2008
Peru,30 Mar 2007,30 Jan 2008
Philippines,25 Sep 2007,15 Apr 2008
Poland,30 Mar 2007,25 Sep 2012
Portugal,30 Mar 2007,23 Sep 2009
Qatar,9 Jul 2007,13 May 2008
Republic of Korea,30 Mar 2007,11 Dec 2008
Republic of Moldova,30 Mar 2007,21 Sep 2010
Romania,26 Sep 2007,31 Jan 2011
Russian Federation,24 Sep 2008,25 Sep 2012
Rwanda,,15 Dec 2008 a
San Marino,30 Mar 2007,22 Feb 2008
Saudi Arabia,,24 Jun 2008 a
Senegal,25 Apr 2007,7 Sep 2010
Serbia,17 Dec 2007,31 Jul 2009
Seychelles,30 Mar 2007,2 Oct 2009
Sierra Leone,30 Mar 2007,4 Oct 2010
Singapore,30 Nov 2012,18 Jul 2013
Slovakia,26 Sep 2007,26 May 2010
Slovenia,30 Mar 2007,24 Apr 2008
Solomon Islands,23 Sep 2008,
South Africa,30 Mar 2007,30 Nov 2007
Spain,30 Mar 2007,3 Dec 2007
Sri Lanka,30 Mar 2007,
St. Lucia,22 Sep 2011,
St. Vincent and the Grenadines,,29 Oct 2010 a
State of Palestine,,2 Apr 2014 a
Sudan,30 Mar 2007,24 Apr 2009
Suriname,30 Mar 2007,
Swaziland,25 Sep 2007,24 Sep 2012
Sweden,30 Mar 2007,15 Dec 2008
Switzerland,,15 Apr 2014 a
Syrian Arab Republic,30 Mar 2007,10 Jul 2009
Thailand,30 Mar 2007,29 Jul 2008
The former Yugoslav Republic of Macedonia,30 Mar 2007,29 Dec 2011
Togo,23 Sep 2008,1 Mar 2011
Tonga,15 Nov 2007,
Trinidad and Tobago,27 Sep 2007,
Tunisia,30 Mar 2007,2 Apr 2008
Turkey,30 Mar 2007,28 Sep 2009
Turkmenistan,,4 Sep 2008 a
Tuvalu,,18 Dec 2013 a
Uganda,30 Mar 2007,25 Sep 2008
Ukraine,24 Sep 2008,4 Feb 2010
United Arab Emirates,8 Feb 2008,19 Mar 2010
United Kingdom of Great Britain and Northern Ireland,30 Mar 2007,8 Jun 2009
United Republic of Tanzania,30 Mar 2007,10 Nov 2009
United States of America,30 Jul 2009,
Uruguay,3 Apr 2007,11 Feb 2009
Uzbekistan,27 Feb 2009,
Vanuatu,17 May 2007,23 Oct 2008
Venezuela (Bolivarian Republic of),,24 Sep 2013 a
Viet Nam,22 Oct 2007,
Yemen,30 Mar 2007,26 Mar 2009
Zambia,9 May 2008,1 Feb 2010
Zimbabwe,,23 Sep 2013 a
