Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Guatemala,9 Dec 2003,3 Nov 2006
Guinea,15 Jul 2005,29 May 2013
Guinea-Bissau,,10 Sep 2007 a
Guyana,,16 Apr 2008 a
Haiti,10 Dec 2003,14 Sep 2009
Honduras,17 May 2004,23 May 2005
Hungary,10 Dec 2003,19 Apr 2005
Iceland,,1 Mar 2011 a
India,9 Dec 2005,9 May 2011
Indonesia,18 Dec 2003,19 Sep 2006
Iran (Islamic Republic of),9 Dec 2003,20 Apr 2009
Iraq,,17 Mar 2008 a
Ireland,9 Dec 2003,9 Nov 2011
Israel,29 Nov 2005,4 Feb 2009
Italy,9 Dec 2003,5 Oct 2009
Jamaica,16 Sep 2005,5 Mar 2008
Japan,9 Dec 2003,
Jordan,9 Dec 2003,24 Feb 2005
Kazakhstan,,18 Jun 2008 a
Kenya,9 Dec 2003,9 Dec 2003
Kiribati,,27 Sep 2013 a
Kuwait,9 Dec 2003,16 Feb 2007
Kyrgyzstan,10 Dec 2003,16 Sep 2005
Lao People's Democratic Republic,10 Dec 2003,25 Sep 2009
Latvia,19 May 2005,4 Jan 2006
Lebanon,,22 Apr 2009 a
Lesotho,16 Sep 2005,16 Sep 2005
Liberia,,16 Sep 2005 a
Libya,23 Dec 2003,7 Jun 2005
Liechtenstein,10 Dec 2003,8 Jul 2010
Lithuania,10 Dec 2003,21 Dec 2006
Luxembourg,10 Dec 2003,6 Nov 2007
Madagascar,10 Dec 2003,22 Sep 2004
Malawi,21 Sep 2004,4 Dec 2007
Malaysia,9 Dec 2003,24 Sep 2008
Maldives,,22 Mar 2007 a
Mali,9 Dec 2003,18 Apr 2008
Malta,12 May 2005,11 Apr 2008
Marshall Islands,,17 Nov 2011 a
Mauritania,,25 Oct 2006 a
Mauritius,9 Dec 2003,15 Dec 2004
Mexico,9 Dec 2003,20 Jul 2004
Micronesia (Federated States of),,21 Mar 2012 a
Mongolia,29 Apr 2005,11 Jan 2006
Montenegro,,23 Oct 2006 d
Morocco,9 Dec 2003,9 May 2007
Mozambique,25 May 2004,9 Apr 2008
Myanmar,2 Dec 2005,20 Dec 2012
Namibia,9 Dec 2003,3 Aug 2004
Nauru,,12 Jul 2012 a
Nepal,10 Dec 2003,29 Mar 2011
Netherlands,10 Dec 2003,31 Oct 2006 A
New Zealand,10 Dec 2003,
Nicaragua,10 Dec 2003,15 Feb 2006
Niger,,11 Aug 2008 a
Nigeria,9 Dec 2003,14 Dec 2004
Norway,9 Dec 2003,29 Jun 2006
Pakistan,9 Dec 2003,31 Aug 2007
Palau,,24 Mar 2009 a
Panama,10 Dec 2003,23 Sep 2005
Papua New Guinea,22 Dec 2004,16 Jul 2007
Paraguay,9 Dec 2003,1 Jun 2005
Peru,10 Dec 2003,16 Nov 2004
Philippines,9 Dec 2003,8 Nov 2006
Poland,10 Dec 2003,15 Sep 2006
Portugal,11 Dec 2003,28 Sep 2007
Qatar,1 Dec 2005,30 Jan 2007
Republic of Korea,10 Dec 2003,27 Mar 2008
Republic of Moldova,28 Sep 2004,1 Oct 2007
Romania,9 Dec 2003,2 Nov 2004
Russian Federation,9 Dec 2003,9 May 2006
Rwanda,30 Nov 2004,4 Oct 2006
Sao Tome and Principe,8 Dec 2005,12 Apr 2006
Saudi Arabia,9 Jan 2004,29 Apr 2013
Senegal,9 Dec 2003,16 Nov 2005
Serbia,11 Dec 2003,20 Dec 2005
Seychelles,27 Feb 2004,16 Mar 2006
Sierra Leone,9 Dec 2003,30 Sep 2004
Singapore,11 Nov 2005,6 Nov 2009
Slovakia,9 Dec 2003,1 Jun 2006
Slovenia,,1 Apr 2008 a
Solomon Islands,,6 Jan 2012 a
South Africa,9 Dec 2003,22 Nov 2004
Spain,16 Sep 2005,19 Jun 2006
Sri Lanka,15 Mar 2004,31 Mar 2004
St. Lucia,,18 Nov 2011 a
Sudan,14 Jan 2005,
Swaziland,15 Sep 2005,24 Sep 2012
Sweden,9 Dec 2003,25 Sep 2007
Switzerland,10 Dec 2003,24 Sep 2009
Syrian Arab Republic,9 Dec 2003,
Tajikistan,,25 Sep 2006 a
Thailand,9 Dec 2003,1 Mar 2011
The former Yugoslav Republic of Macedonia,18 Aug 2005,13 Apr 2007
Timor-Leste,10 Dec 2003,27 Mar 2009
Togo,10 Dec 2003,6 Jul 2005
Trinidad and Tobago,11 Dec 2003,31 May 2006
Tunisia,30 Mar 2004,23 Sep 2008
Turkey,10 Dec 2003,9 Nov 2006
Turkmenistan,,28 Mar 2005 a
Uganda,9 Dec 2003,9 Sep 2004
Ukraine,11 Dec 2003,2 Dec 2009
United Arab Emirates,10 Aug 2005,22 Feb 2006
United Kingdom of Great Britain and Northern Ireland,9 Dec 2003,9 Feb 2006
United Republic of Tanzania,9 Dec 2003,25 May 2005
United States of America,9 Dec 2003,30 Oct 2006
Uruguay,9 Dec 2003,10 Jan 2007
Uzbekistan,,29 Jul 2008 a
Vanuatu,,12 Jul 2011 a
Venezuela (Bolivarian Republic of),10 Dec 2003,2 Feb 2009
Viet Nam,10 Dec 2003,19 Aug 2009
Yemen,11 Dec 2003,7 Nov 2005
Zambia,11 Dec 2003,7 Dec 2007
Zimbabwe,20 Feb 2004,8 Mar 2007
