Participant,Signature,"Accession(a), Succession(d), Ratification"
Uganda,,21 Jun 1995 a
Ukraine,20 Mar 1968,12 Nov 1973
United Kingdom of Great Britain and Northern Ireland,16 Sep 1968,20 May 1976
United Republic of Tanzania,,11 Jun 1976 a
United States of America,5 Oct 1977,8 Jun 1992
Uruguay,21 Feb 1967,1 Apr 1970
Uzbekistan,,28 Sep 1995 a
Vanuatu,29 Nov 2007,21 Nov 2008
Venezuela (Bolivarian Republic of),24 Jun 1969,10 May 1978
Viet Nam,,24 Sep 1982 a
Yemen,,9 Feb 1987 a
Zambia,,10 Apr 1984 a
Zimbabwe,,13 May 1991 a
