Participant,Signature,"Accession(a), Succession(d), Ratification"
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,,10 Dec 1998 a
Spain,,13 Sep 1968 a
Sri Lanka,,12 Oct 1950 a
St. Vincent and the Grenadines,,9 Nov 1981 a
Sudan,,13 Oct 2003 a
Sweden,30 Dec 1949,27 May 1952
Switzerland,,7 Sep 2000 a
Syrian Arab Republic,,25 Jun 1955 a
The former Yugoslav Republic of Macedonia,,18 Jan 1994 d
Togo,,24 May 1984 a
Tonga,,16 Feb 1972 a
Trinidad and Tobago,,13 Dec 2002 a
Tunisia,,29 Nov 1956 a
Turkey,,31 Jul 1950 a
Uganda,,14 Nov 1995 a
Ukraine,16 Dec 1949,15 Nov 1954
United Arab Emirates,,11 Nov 2005 a
United Kingdom of Great Britain and Northern Ireland,,30 Jan 1970 a
United Republic of Tanzania,,5 Apr 1984 a
United States of America,11 Dec 1948,25 Nov 1988
Uruguay,11 Dec 1948,11 Jul 1967
Uzbekistan,,9 Sep 1999 a
Venezuela (Bolivarian Republic of),,12 Jul 1960 a
Viet Nam,,9 Jun 1981 a
Yemen,,9 Feb 1987 a
Zimbabwe,,13 May 1991 a
