Participant,Signature,"Ratification, Accession(a), Acceptance(A)"
Montenegro,,4 Jun 2007 a
Morocco,15 Oct 1994,7 Nov 1996
Mozambique,28 Sep 1995,13 Mar 1997
Myanmar,,2 Jan 1997 a
Namibia,24 Oct 1994,16 May 1997
Nauru,,22 Sep 1998 a
Nepal,12 Oct 1995,15 Oct 1996
Netherlands,15 Oct 1994,27 Jun 1995 A
New Zealand,,7 Sep 2000 a
Nicaragua,21 Nov 1994,17 Feb 1998
Niger,14 Oct 1994,19 Jan 1996
Nigeria,31 Oct 1994,8 Jul 1997
Niue,,14 Aug 1998 a
Norway,15 Oct 1994,30 Aug 1996
Oman,,23 Jul 1996 a
Pakistan,15 Oct 1994,24 Feb 1997
Palau,,15 Jun 1999 a
Panama,22 Feb 1995,4 Apr 1996
Papua New Guinea,,6 Dec 2000 a
Paraguay,1 Dec 1994,15 Jan 1997
Peru,15 Oct 1994,9 Nov 1995
Philippines,8 Dec 1994,10 Feb 2000
Poland,,14 Nov 2001 a
Portugal,14 Oct 1994,1 Apr 1996
Qatar,,15 Mar 1999 a
Republic of Korea,14 Oct 1994,17 Aug 1999
Republic of Moldova,,10 Mar 1999 a
Romania,,19 Aug 1998 a
Russian Federation,,29 May 2003 a
Rwanda,22 Jun 1995,22 Oct 1998
Samoa,,21 Aug 1998 a
San Marino,,23 Jul 1999 a
Sao Tome and Principe,4 Oct 1995,8 Jul 1998
Saudi Arabia,,25 Jun 1997 a
Senegal,14 Oct 1994,26 Jul 1995
Serbia,,18 Dec 2007 a
Seychelles,14 Oct 1994,26 Jun 1997
Sierra Leone,11 Nov 1994,25 Sep 1997
Singapore,,26 Apr 1999 a
Slovakia,,7 Jan 2002 a
Slovenia,,28 Jun 2001 a
Solomon Islands,,16 Apr 1999 a
Somalia,,24 Jul 2002 a
South Africa,9 Jan 1995,30 Sep 1997
South Sudan,,17 Feb 2014 a
Spain,14 Oct 1994,30 Jan 1996
Sri Lanka,,9 Dec 1998 a
St. Kitts and Nevis,,30 Jun 1997 a
St. Lucia,,2 Jul 1997 a
St. Vincent and the Grenadines,15 Oct 1994,16 Mar 1998
Sudan,15 Oct 1994,24 Nov 1995
Suriname,,1 Jun 2000 a
Swaziland,27 Jul 1995,7 Oct 1996
Sweden,15 Oct 1994,12 Dec 1995
Switzerland,14 Oct 1994,19 Jan 1996
Syrian Arab Republic,15 Oct 1994,10 Jun 1997
Tajikistan,,16 Jul 1997 a
Thailand,,7 Mar 2001 a
The former Yugoslav Republic of Macedonia,,6 Mar 2002 a
Timor-Leste,,20 Aug 2003 a
Togo,15 Oct 1994,4 Oct 1995 A
Tonga,,25 Sep 1998 a
Trinidad and Tobago,,8 Jun 2000 a
Tunisia,14 Oct 1994,11 Oct 1995
Turkey,14 Oct 1994,31 Mar 1998
Turkmenistan,27 Mar 1995,18 Sep 1996
Tuvalu,,14 Sep 1998 a
Uganda,21 Nov 1994,25 Jun 1997
Ukraine,,27 Aug 2002 a
United Arab Emirates,,21 Oct 1998 a
United Kingdom of Great Britain and Northern Ireland,14 Oct 1994,18 Oct 1996
United Republic of Tanzania,14 Oct 1994,19 Jun 1997
United States of America,14 Oct 1994,17 Nov 2000
Uruguay,,17 Feb 1999 a
Uzbekistan,7 Dec 1994,31 Oct 1995
Vanuatu,28 Sep 1995,10 Aug 1999
Venezuela (Bolivarian Republic of),,29 Jun 1998 a
Viet Nam,,25 Aug 1998 a
Yemen,,14 Jan 1997 a
Zambia,15 Oct 1994,19 Sep 1996
Zimbabwe,15 Oct 1994,23 Sep 1997
