Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA), Succession(d)"
Eritrea,,21 Mar 1996 a
Estonia,12 Jun 1992,27 Jul 1994
Ethiopia,10 Jun 1992,5 Apr 1994
European Union,13 Jun 1992,21 Dec 1993 AA
Fiji,9 Oct 1992,25 Feb 1993
Finland,5 Jun 1992,27 Jul 1994 A
France,13 Jun 1992,1 Jul 1994
Gabon,12 Jun 1992,14 Mar 1997
Gambia,12 Jun 1992,10 Jun 1994
Georgia,,2 Jun 1994 a
Germany,12 Jun 1992,21 Dec 1993
Ghana,12 Jun 1992,29 Aug 1994
Greece,12 Jun 1992,4 Aug 1994
Grenada,3 Dec 1992,11 Aug 1994
Guatemala,13 Jun 1992,10 Jul 1995
Guinea,12 Jun 1992,7 May 1993
Guinea-Bissau,12 Jun 1992,27 Oct 1995
Guyana,13 Jun 1992,29 Aug 1994
Haiti,13 Jun 1992,25 Sep 1996
Honduras,13 Jun 1992,31 Jul 1995
Hungary,13 Jun 1992,24 Feb 1994
Iceland,10 Jun 1992,12 Sep 1994
India,5 Jun 1992,18 Feb 1994
Indonesia,5 Jun 1992,23 Aug 1994
Iran (Islamic Republic of),14 Jun 1992,6 Aug 1996
Iraq,,28 Jul 2009 a
Ireland,13 Jun 1992,22 Mar 1996
Israel,11 Jun 1992,7 Aug 1995
Italy,5 Jun 1992,15 Apr 1994
Jamaica,11 Jun 1992,6 Jan 1995
Japan,13 Jun 1992,28 May 1993 A
Jordan,11 Jun 1992,12 Nov 1993
Kazakhstan,9 Jun 1992,6 Sep 1994
Kenya,11 Jun 1992,26 Jul 1994
Kiribati,,16 Aug 1994 a
Kuwait,9 Jun 1992,2 Aug 2002
Kyrgyzstan,,6 Aug 1996 a
Lao People's Democratic Republic,,20 Sep 1996 a
Latvia,11 Jun 1992,14 Dec 1995
Lebanon,12 Jun 1992,15 Dec 1994
Lesotho,11 Jun 1992,10 Jan 1995
Liberia,12 Jun 1992,8 Nov 2000
Libya,29 Jun 1992,12 Jul 2001
Liechtenstein,5 Jun 1992,19 Nov 1997
Lithuania,11 Jun 1992,1 Feb 1996
Luxembourg,9 Jun 1992,9 May 1994
Madagascar,8 Jun 1992,4 Mar 1996
Malawi,10 Jun 1992,2 Feb 1994
Malaysia,12 Jun 1992,24 Jun 1994
Maldives,12 Jun 1992,9 Nov 1992
Mali,30 Sep 1992,29 Mar 1995
Malta,12 Jun 1992,29 Dec 2000
Marshall Islands,12 Jun 1992,8 Oct 1992
Mauritania,12 Jun 1992,16 Aug 1996
Mauritius,10 Jun 1992,4 Sep 1992
Mexico,13 Jun 1992,11 Mar 1993
Micronesia (Federated States of),12 Jun 1992,20 Jun 1994
Monaco,11 Jun 1992,20 Nov 1992
Mongolia,12 Jun 1992,30 Sep 1993
Montenegro,,23 Oct 2006 d
Morocco,13 Jun 1992,21 Aug 1995
Mozambique,12 Jun 1992,25 Aug 1995
Myanmar,11 Jun 1992,25 Nov 1994
Namibia,12 Jun 1992,16 May 1997
Nauru,5 Jun 1992,11 Nov 1993
Nepal,12 Jun 1992,23 Nov 1993
Netherlands,5 Jun 1992,12 Jul 1994 A
New Zealand,12 Jun 1992,16 Sep 1993
Nicaragua,13 Jun 1992,20 Nov 1995
Niger,11 Jun 1992,25 Jul 1995
Nigeria,13 Jun 1992,29 Aug 1994
Niue,,28 Feb 1996 a
Norway,9 Jun 1992,9 Jul 1993
Oman,10 Jun 1992,8 Feb 1995
Pakistan,5 Jun 1992,26 Jul 1994
Palau,,6 Jan 1999 a
Panama,13 Jun 1992,17 Jan 1995
Papua New Guinea,13 Jun 1992,16 Mar 1993
Paraguay,12 Jun 1992,24 Feb 1994
Peru,12 Jun 1992,7 Jun 1993
Philippines,12 Jun 1992,8 Oct 1993
Poland,5 Jun 1992,18 Jan 1996
Portugal,13 Jun 1992,21 Dec 1993
Qatar,11 Jun 1992,21 Aug 1996
Republic of Korea,13 Jun 1992,3 Oct 1994
Republic of Moldova,5 Jun 1992,20 Oct 1995
Romania,5 Jun 1992,17 Aug 1994
Russian Federation,13 Jun 1992,5 Apr 1995
Rwanda,10 Jun 1992,29 May 1996
Samoa,12 Jun 1992,9 Feb 1994
San Marino,10 Jun 1992,28 Oct 1994
Sao Tome and Principe,12 Jun 1992,29 Sep 1999
Saudi Arabia,,3 Oct 2001 a
Senegal,13 Jun 1992,17 Oct 1994
Serbia,8 Jun 1992,1 Mar 2002
Seychelles,10 Jun 1992,22 Sep 1992
Sierra Leone,,12 Dec 1994 a
Singapore,10 Mar 1993,21 Dec 1995
Slovakia,19 May 1993,25 Aug 1994 AA
Slovenia,13 Jun 1992,9 Jul 1996
Solomon Islands,13 Jun 1992,3 Oct 1995
Somalia,,11 Sep 2009 a
South Africa,4 Jun 1993,2 Nov 1995
South Sudan,,17 Feb 2014 a
Spain,13 Jun 1992,21 Dec 1993
Sri Lanka,10 Jun 1992,23 Mar 1994
St. Kitts and Nevis,12 Jun 1992,7 Jan 1993
St. Lucia,,28 Jul 1993 a
St. Vincent and the Grenadines,,3 Jun 1996 a
Sudan,9 Jun 1992,30 Oct 1995
Suriname,13 Jun 1992,12 Jan 1996
Swaziland,12 Jun 1992,9 Nov 1994
Sweden,8 Jun 1992,16 Dec 1993
Switzerland,12 Jun 1992,21 Nov 1994
Syrian Arab Republic,3 May 1993,4 Jan 1996
Tajikistan,,29 Oct 1997 a
Thailand,12 Jun 1992,31 Oct 2003
The former Yugoslav Republic of Macedonia,,2 Dec 1997 a
Timor-Leste,,10 Oct 2006 a
Togo,12 Jun 1992,4 Oct 1995 A
Tonga,,19 May 1998 a
Trinidad and Tobago,11 Jun 1992,1 Aug 1996
Tunisia,13 Jun 1992,15 Jul 1993
Turkey,11 Jun 1992,14 Feb 1997
Turkmenistan,,18 Sep 1996 a
Tuvalu,8 Jun 1992,20 Dec 2002
Uganda,12 Jun 1992,8 Sep 1993
Ukraine,11 Jun 1992,7 Feb 1995
United Arab Emirates,11 Jun 1992,10 Feb 2000
United Kingdom of Great Britain and Northern Ireland,12 Jun 1992,3 Jun 1994
United Republic of Tanzania,12 Jun 1992,8 Mar 1996
United States of America,4 Jun 1993,
Uruguay,9 Jun 1992,5 Nov 1993
Uzbekistan,,19 Jul 1995 a
Vanuatu,9 Jun 1992,25 Mar 1993
Venezuela (Bolivarian Republic of),12 Jun 1992,13 Sep 1994
Viet Nam,28 May 1993,16 Nov 1994
Yemen,12 Jun 1992,21 Feb 1996
Zambia,11 Jun 1992,28 May 1993
Zimbabwe,12 Jun 1992,11 Nov 1994
