Participant,Signature,"Ratification, Acceptance(A), Accession(a), Succession(d)"
Uganda,17 Aug 1990,17 Aug 1990
Ukraine,21 Feb 1990,28 Aug 1991
United Arab Emirates,,3 Jan 1997 a
United Kingdom of Great Britain and Northern Ireland,19 Apr 1990,16 Dec 1991
United Republic of Tanzania,1 Jun 1990,10 Jun 1991
United States of America,16 Feb 1995,
Uruguay,26 Jan 1990,20 Nov 1990
Uzbekistan,,29 Jun 1994 a
Vanuatu,30 Sep 1990,7 Jul 1993
Venezuela (Bolivarian Republic of),26 Jan 1990,13 Sep 1990
Viet Nam,26 Jan 1990,28 Feb 1990
Yemen,13 Feb 1990,1 May 1991
Zambia,30 Sep 1990,6 Dec 1991
Zimbabwe,8 Mar 1990,11 Sep 1990
