Participant,"Signature, Succession to signature(d)","Ratification, Acceptance(A), Approval(AA), Accession(a)"
India,14 May 2002,13 Jan 2006
Indonesia,23 May 2001,28 Sep 2009
Iran (Islamic Republic of),23 May 2001,6 Feb 2006
Ireland,23 May 2001,5 Aug 2010
Israel,30 Jul 2001,
Italy,23 May 2001,
Jamaica,23 May 2001,1 Jun 2007
Japan,,30 Aug 2002 a
Jordan,18 Jan 2002,8 Nov 2004
Kazakhstan,23 May 2001,9 Nov 2007
Kenya,23 May 2001,24 Sep 2004
Kiribati,4 Apr 2002,7 Sep 2004
Kuwait,23 May 2001,12 Jun 2006
Kyrgyzstan,16 May 2002,12 Dec 2006
Lao People's Democratic Republic,5 Mar 2002,28 Jun 2006
Latvia,23 May 2001,28 Oct 2004
Lebanon,23 May 2001,3 Jan 2003
Lesotho,23 Jan 2002,23 Jan 2002
Liberia,,23 May 2002 a
Libya,,14 Jun 2005 a
Liechtenstein,23 May 2001,3 Dec 2004
Lithuania,17 May 2002,5 Dec 2006
Luxembourg,23 May 2001,7 Feb 2003
Madagascar,24 Sep 2001,18 Nov 2005
Malawi,22 May 2002,27 Feb 2009
Malaysia,16 May 2002,
Maldives,,17 Oct 2006 a
Mali,23 May 2001,5 Sep 2003
Malta,23 May 2001,
Marshall Islands,,27 Jan 2003 a
Mauritania,8 Aug 2001,22 Jul 2005
Mauritius,23 May 2001,13 Jul 2004
Mexico,23 May 2001,10 Feb 2003
Micronesia (Federated States of),31 Jul 2001,15 Jul 2005
Monaco,23 May 2001,20 Oct 2004
Mongolia,17 May 2002,30 Apr 2004
Montenegro,23 Oct 2006 d,31 Mar 2011
Morocco,23 May 2001,15 Jun 2004
Mozambique,23 May 2001,31 Oct 2005
Myanmar,,19 Apr 2004 a
Namibia,,24 Jun 2005 a
Nauru,9 May 2002,9 May 2002
Nepal,5 Apr 2002,6 Mar 2007
Netherlands,23 May 2001,28 Jan 2002 A
New Zealand,23 May 2001,24 Sep 2004
Nicaragua,23 May 2001,1 Dec 2005
Niger,12 Oct 2001,12 Apr 2006
Nigeria,23 May 2001,24 May 2004
Niue,12 Mar 2002,2 Sep 2005
Norway,23 May 2001,11 Jul 2002
Oman,4 Mar 2002,19 Jan 2005
Pakistan,6 Dec 2001,17 Apr 2008
Palau,28 Mar 2002,8 Sep 2011
Panama,23 May 2001,5 Mar 2003
Papua New Guinea,23 May 2001,7 Oct 2003
Paraguay,12 Oct 2001,1 Apr 2004
Peru,23 May 2001,14 Sep 2005
Philippines,23 May 2001,27 Feb 2004
Poland,23 May 2001,23 Oct 2008
Portugal,23 May 2001,15 Jul 2004 A
Qatar,,10 Dec 2004 a
Republic of Korea,4 Oct 2001,25 Jan 2007
Republic of Moldova,23 May 2001,7 Apr 2004
Romania,23 May 2001,28 Oct 2004
Russian Federation,22 May 2002,17 Aug 2011
Rwanda,,5 Jun 2002 a
Samoa,23 May 2001,4 Feb 2002
Sao Tome and Principe,3 Apr 2002,12 Apr 2006
Saudi Arabia,14 Mar 2002,25 Jul 2012
Senegal,23 May 2001,8 Oct 2003
Serbia,2 May 2002,31 Jul 2009
Seychelles,25 Mar 2002,3 Jun 2008 a
Sierra Leone,,26 Sep 2003 a
Singapore,23 May 2001,24 May 2005
Slovakia,23 May 2001,5 Aug 2002
Slovenia,23 May 2001,4 May 2004
Solomon Islands,,28 Jul 2004 a
Somalia,,26 Jul 2010 a
South Africa,23 May 2001,4 Sep 2002
Spain,23 May 2001,28 May 2004
Sri Lanka,5 Sep 2001,22 Dec 2005
St. Kitts and Nevis,,21 May 2004 a
St. Lucia,,4 Oct 2002 a
St. Vincent and the Grenadines,,15 Sep 2005 a
Sudan,23 May 2001,29 Aug 2006
Suriname,22 May 2002,20 Sep 2011
Swaziland,,13 Jan 2006 a
Sweden,23 May 2001,8 May 2002
Switzerland,23 May 2001,30 Jul 2003
Syrian Arab Republic,15 Feb 2002,5 Aug 2005
Tajikistan,21 May 2002,8 Feb 2007
Thailand,22 May 2002,31 Jan 2005
The former Yugoslav Republic of Macedonia,23 May 2001,27 May 2004
Togo,23 May 2001,22 Jul 2004
Tonga,21 May 2002,23 Oct 2009
Trinidad and Tobago,,13 Dec 2002 a
Tunisia,23 May 2001,17 Jun 2004
Turkey,23 May 2001,14 Oct 2009
Tuvalu,,19 Jan 2004 a
Uganda,,20 Jul 2004 a
Ukraine,23 May 2001,25 Sep 2007
United Arab Emirates,23 May 2001,11 Jul 2002
United Kingdom of Great Britain and Northern Ireland,11 Dec 2001,17 Jan 2005
United Republic of Tanzania,23 May 2001,30 Apr 2004
United States of America,23 May 2001,
Uruguay,23 May 2001,9 Feb 2004
Vanuatu,21 May 2002,16 Sep 2005
Venezuela (Bolivarian Republic of),23 May 2001,19 Apr 2005
Viet Nam,23 May 2001,22 Jul 2002
Yemen,5 Dec 2001,9 Jan 2004
Zambia,23 May 2001,7 Jul 2006
Zimbabwe,23 May 2001,1 Mar 2012
