Participant,Signature,"Definitive signature(s), Ratification, Accession(a), Succession(d)"
Sao Tome and Principe,,20 Jun 1996 a
Saudi Arabia,,29 Jan 1975 a
Senegal,,10 Jun 1977 a
Serbia,,12 Mar 2001 d
Seychelles,,27 Feb 1992 a
Sierra Leone,,6 Jun 1994 a
Singapore,,17 Sep 1990 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Somalia,,2 Sep 1986 a
South Africa,,27 Jan 1972 a
Spain,,20 Jul 1973 a
Sri Lanka,,15 Mar 1993 a
St. Kitts and Nevis,,9 May 1994 a
St. Lucia,,16 Jan 2003 a
St. Vincent and the Grenadines,,3 Dec 2001 a
Sudan,,26 Jul 1993 a
Suriname,,29 Mar 1990 a
Swaziland,,3 Oct 1995 a
Sweden,21 Feb 1971,5 Dec 1972
Switzerland,,22 Apr 1996 a
Syrian Arab Republic,,8 Mar 1976 a
Tajikistan,,26 Mar 1997 a
Thailand,,21 Nov 1975 a
The former Yugoslav Republic of Macedonia,,13 Oct 1993 a
Togo,21 Feb 1971,18 May 1976
Tonga,,24 Oct 1975 a
Trinidad and Tobago,21 Feb 1971,14 Mar 1979
Tunisia,,23 Jul 1979 a
Turkey,21 Feb 1971,1 Apr 1981
Turkmenistan,,21 Feb 1996 a
Uganda,,15 Apr 1988 a
Ukraine,30 Dec 1971,20 Nov 1978
United Arab Emirates,,17 Feb 1988 a
United Kingdom of Great Britain and Northern Ireland,21 Feb 1971,24 Mar 1986
United Republic of Tanzania,,7 Dec 2000 a
United States of America,21 Feb 1971,16 Apr 1980
Uruguay,,16 Mar 1976 a
Uzbekistan,,12 Jul 1995 a
Venezuela (Bolivarian Republic of),21 Feb 1971,23 May 1972
Viet Nam,,4 Nov 1997 a
Yemen,,25 Mar 1996 a
Zambia,,28 May 1993 a
Zimbabwe,,30 Jul 1993 a
