Participant,Signature,"Approval(AA), Formal confirmation(c), Acceptance(A), Accession(a), Succession(d), Ratification"
Mexico,22 Mar 1989,22 Feb 1991
Micronesia (Federated States of),,6 Sep 1995 a
Monaco,,31 Aug 1992 a
Mongolia,,15 Apr 1997 a
Montenegro,,23 Oct 2006 d
Morocco,,28 Dec 1995 a
Mozambique,,13 Mar 1997 a
Namibia,,15 May 1995 a
Nauru,,12 Nov 2001 a
Nepal,,15 Oct 1996 a
Netherlands,22 Mar 1989,16 Apr 1993 A
New Zealand,18 Dec 1989,20 Dec 1994
Nicaragua,,3 Jun 1997 a
Niger,,17 Jun 1998 a
Nigeria,15 Mar 1990,13 Mar 1991
Norway,22 Mar 1989,2 Jul 1990
Oman,,8 Feb 1995 a
Pakistan,,26 Jul 1994 a
Palau,,8 Sep 2011 a
Panama,22 Mar 1989,22 Feb 1991
Papua New Guinea,,1 Sep 1995 a
Paraguay,,28 Sep 1995 a
Peru,,23 Nov 1993 a
Philippines,22 Mar 1989,21 Oct 1993
Poland,22 Mar 1990,20 Mar 1992
Portugal,26 Jun 1989,26 Jan 1994
Qatar,,9 Aug 1995 a
Republic of Korea,,28 Feb 1994 a
Republic of Moldova,,2 Jul 1998 a
Romania,,27 Feb 1991 a
Russian Federation,22 Mar 1990,31 Jan 1995
Rwanda,,7 Jan 2004 a
Samoa,,22 Mar 2002 a
Saudi Arabia,22 Mar 1989,7 Mar 1990
Senegal,,10 Nov 1992 a
Serbia,,18 Apr 2000 a
Seychelles,,11 May 1993 a
Singapore,,2 Jan 1996 a
Slovakia,,28 May 1993 d
Slovenia,,7 Oct 1993 a
Somalia,,26 Jul 2010 a
South Africa,,5 May 1994 a
Spain,22 Mar 1989,7 Feb 1994
Sri Lanka,,28 Aug 1992 a
St. Kitts and Nevis,,7 Sep 1994 a
St. Lucia,,9 Dec 1993 a
St. Vincent and the Grenadines,,2 Dec 1996 a
Sudan,,9 Jan 2006 a
Suriname,,20 Sep 2011 a
Swaziland,,8 Aug 2005 a
Sweden,22 Mar 1989,2 Aug 1991
Switzerland,22 Mar 1989,31 Jan 1990
Syrian Arab Republic,11 Oct 1989,22 Jan 1992
Thailand,22 Mar 1990,24 Nov 1997
The former Yugoslav Republic of Macedonia,,16 Jul 1997 a
Togo,,2 Jul 2004 a
Tonga,,26 Mar 2010 a
Trinidad and Tobago,,18 Feb 1994 a
Tunisia,,11 Oct 1995 a
Turkey,22 Mar 1989,22 Jun 1994
Turkmenistan,,25 Sep 1996 a
Uganda,,11 Mar 1999 a
Ukraine,,8 Oct 1999 a
United Arab Emirates,22 Mar 1989,17 Nov 1992
United Kingdom of Great Britain and Northern Ireland,6 Oct 1989,7 Feb 1994
United Republic of Tanzania,,7 Apr 1993 a
United States of America,22 Mar 1990,
Uruguay,22 Mar 1989,20 Dec 1991
Uzbekistan,,7 Feb 1996 a
Venezuela (Bolivarian Republic of),22 Mar 1989,3 Mar 1998
Viet Nam,,13 Mar 1995 a
Yemen,,21 Feb 1996 a
Zambia,,15 Nov 1994 a
Zimbabwe,,1 Mar 2012 a
