Participant,Signature,"Ratification, Accession(a), Acceptance(A), Approval(AA), Formal confirmation(c), Succession(d)"
Mexico,16 Feb 1989,11 Apr 1990
Micronesia (Federated States of),,6 Jul 2004 a
Monaco,24 Feb 1989,23 Apr 1991
Mongolia,,25 Jun 2003 a
Montenegro,,23 Oct 2006 d
Morocco,28 Dec 1988,28 Oct 1992
Mozambique,,8 Jun 1998 a
Myanmar,,11 Jun 1991 a
Namibia,,6 Mar 2009 a
Nauru,,12 Jul 2012 a
Nepal,,24 Jul 1991 a
Netherlands,18 Jan 1989,8 Sep 1993 A
New Zealand,18 Dec 1989,16 Dec 1998
Nicaragua,20 Dec 1988,4 May 1990
Niger,,10 Nov 1992 a
Nigeria,1 Mar 1989,1 Nov 1989
Niue,,16 Jul 2012 a
Norway,20 Dec 1988,14 Nov 1994
Oman,,15 Mar 1991 a
Pakistan,20 Dec 1989,25 Oct 1991
Panama,20 Dec 1988,13 Jan 1994
Paraguay,20 Dec 1988,23 Aug 1990
Peru,20 Dec 1988,16 Jan 1992
Philippines,20 Dec 1988,7 Jun 1996
Poland,6 Mar 1989,26 May 1994
Portugal,13 Dec 1989,3 Dec 1991
Qatar,,4 May 1990 a
Republic of Korea,,28 Dec 1998 a
Republic of Moldova,,15 Feb 1995 a
Romania,,21 Jan 1993 a
Russian Federation,19 Jan 1989,17 Dec 1990
Rwanda,,13 May 2002 a
Samoa,,19 Aug 2005 a
San Marino,,10 Oct 2000 a
Sao Tome and Principe,,20 Jun 1996 a
Saudi Arabia,,9 Jan 1992 a
Senegal,20 Dec 1988,27 Nov 1989
Serbia,,12 Mar 2001 d
Seychelles,,27 Feb 1992 a
Sierra Leone,9 Jun 1989,6 Jun 1994
Singapore,,23 Oct 1997 a
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
South Africa,,14 Dec 1998 a
Spain,20 Dec 1988,13 Aug 1990
Sri Lanka,,6 Jun 1991 a
St. Kitts and Nevis,,19 Apr 1995 a
St. Lucia,,21 Aug 1995 a
St. Vincent and the Grenadines,,17 May 1994 a
Sudan,30 Jan 1989,19 Nov 1993
Suriname,20 Dec 1988,28 Oct 1992
Swaziland,,3 Oct 1995 a
Sweden,20 Dec 1988,22 Jul 1991
Switzerland,16 Nov 1989,14 Sep 2005
Syrian Arab Republic,,3 Sep 1991 a
Tajikistan,,6 May 1996 a
Thailand,,3 May 2002 a
The former Yugoslav Republic of Macedonia,,13 Oct 1993 a
Timor-Leste,,3 Jun 2014 a
Togo,3 Aug 1989,1 Aug 1990
Tonga,,29 Apr 1996 a
Trinidad and Tobago,7 Dec 1989,17 Feb 1995
Tunisia,19 Dec 1989,20 Sep 1990
Turkey,20 Dec 1988,2 Apr 1996
Turkmenistan,,21 Feb 1996 a
Uganda,,20 Aug 1990 a
Ukraine,16 Mar 1989,28 Aug 1991
United Arab Emirates,,12 Apr 1990 a
United Kingdom of Great Britain and Northern Ireland,20 Dec 1988,28 Jun 1991
United Republic of Tanzania,20 Dec 1988,17 Apr 1996
United States of America,20 Dec 1988,20 Feb 1990
Uruguay,19 Dec 1989,10 Mar 1995
Uzbekistan,,24 Aug 1995 a
Vanuatu,,26 Jan 2006 a
Venezuela (Bolivarian Republic of),20 Dec 1988,16 Jul 1991
Viet Nam,,4 Nov 1997 a
Yemen,20 Dec 1988,25 Mar 1996
Zambia,9 Feb 1989,28 May 1993
Zimbabwe,,30 Jul 1993 a
