Participant,"Participation in the Convention by virtue of ratification, accession or succession to the Protocol of 25 March 1972 or to the 1961 Convention after the entry into force of the Protocol","Accession(a), Succession(d), Ratification"
Georgia,,27 Mar 2000 a
Germany,20 Feb 1975,
Ghana,,10 Apr 1990 a
Greece,12 Jul 1985,
Grenada,,19 Aug 1998 a
Guatemala,9 Dec 1975,
Guinea,,27 Dec 1990 a
Guinea-Bissau,27 Oct 1995,
Guyana,15 Jul 2002,
Haiti,29 Jan 1973,
Holy See,7 Jan 1976,
Honduras,8 Aug 1979,
Hungary,12 Nov 1987,
Iceland,18 Dec 1974,
India,14 Dec 1978,
Indonesia,3 Sep 1976,
Iran (Islamic Republic of),18 Dec 2001,
Iraq,25 Sep 1978,
Ireland,16 Dec 1980,
Israel,1 Feb 1974,
Italy,14 Apr 1975,
Jamaica,6 Oct 1989,
Japan,27 Sep 1973,
Jordan,28 Feb 1973,
Kazakhstan,29 Apr 1997,
Kenya,9 Feb 1973,
Kuwait,7 Nov 1973,
Kyrgyzstan,7 Oct 1994,
Lao People's Democratic Republic,16 Mar 2009,
Latvia,16 Jul 1993,
Lebanon,5 Mar 1997,
Lesotho,4 Nov 1974,
Liberia,,13 Apr 1987
Libya,27 Sep 1978,
Liechtenstein,24 Nov 1999,
Lithuania,28 Feb 1994,
Luxembourg,13 Oct 1976,
Madagascar,20 Jun 1974,
Malawi,4 Oct 1973,
Malaysia,20 Apr 1978,
Maldives,,7 Sep 2000 a
Mali,31 Oct 1995,
Malta,,22 Feb 1990 a
Marshall Islands,9 Aug 1991,
Mauritania,,24 Oct 1989 a
Mauritius,12 Dec 1994,
Mexico,27 Apr 1977,
Micronesia (Federated States of),29 May 1991,
Monaco,30 Dec 1975,
Mongolia,6 May 1991,
Montenegro,,23 Oct 2006 d
Morocco,19 Mar 2002,
Mozambique,8 Jun 1998,
Myanmar,22 Aug 2003,
Namibia,,31 Mar 1998 a
Nepal,,29 Jun 1987 a
Netherlands,29 May 1987,
New Zealand,7 Jun 1990,
Nicaragua,15 Feb 2005,
Niger,28 Dec 1973,
Nigeria,,24 Jun 1981 a
Norway,12 Nov 1973,
Oman,24 Jul 1987,
Pakistan,2 Jul 1999,
Palau,,19 Aug 1998 a
Panama,19 Oct 1972,
Papua New Guinea,28 Oct 1980,
Paraguay,20 Jun 1973,
Peru,12 Sep 1977,
Philippines,7 Jun 1974,
Poland,9 Jun 1993,
Portugal,20 Apr 1979,
Qatar,,3 Oct 1986 a
Republic of Korea,25 Jan 1973,
Republic of Moldova,15 Feb 1995,
Romania,14 Jan 1974,
Russian Federation,3 Jun 1996,
Rwanda,,15 Jul 1981 a
San Marino,10 Oct 2000,
Sao Tome and Principe,20 Jun 1996,
Saudi Arabia,,7 Nov 1997 a
Senegal,25 Mar 1974,
Serbia,,12 Mar 2001 d
Seychelles,27 Feb 1992,
Sierra Leone,,6 Jun 1994 a
Singapore,9 Jul 1975,
Slovakia,,28 May 1993 d
Slovenia,,6 Jul 1992 d
Solomon Islands,17 Mar 1982,
Somalia,9 Jun 1988,
South Africa,16 Dec 1975,
Spain,4 Jan 1977,
Sri Lanka,29 Jun 1981,
St. Kitts and Nevis,9 May 1994,
St. Lucia,5 Jul 1991,
St. Vincent and the Grenadines,3 Dec 2001,
Sudan,5 Jul 1994,
Suriname,29 Mar 1990,
Swaziland,,18 Oct 1995 a
Sweden,5 Dec 1972,
Switzerland,22 Apr 1996,
Syrian Arab Republic,1 Feb 1974,
Tajikistan,,26 Mar 1997 a
Thailand,9 Jan 1975,
The former Yugoslav Republic of Macedonia,13 Oct 1993,
Togo,10 Nov 1976,
Tonga,5 Sep 1973,
Trinidad and Tobago,23 Jul 1979,
Tunisia,29 Jun 1976,
Turkey,20 Jul 2001,
Turkmenistan,21 Feb 1996,
Uganda,15 Apr 1988,
Ukraine,27 Sep 2001,
United Arab Emirates,,17 Feb 1988 a
United Kingdom of Great Britain and Northern Ireland,20 Jun 1978,
United Republic of Tanzania,,25 Mar 1999 a
United States of America,1 Nov 1972,
Uruguay,31 Oct 1975,
Uzbekistan,,24 Aug 1995 a
Venezuela (Bolivarian Republic of),4 Dec 1985,
Viet Nam,,4 Nov 1997 a
Yemen,,25 Mar 1996 a
Zambia,13 May 1998,
Zimbabwe,,30 Jul 1993 a
