Participant,Signature,"Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification"
Mali,,28 Mar 2002 a
Malta,,11 Nov 2001 a
Marshall Islands,,27 Jan 2003 a
Mauritania,,30 Apr 2003 a
Mauritius,,24 Jan 2003 a
Mexico,,20 Jan 2003 a
Micronesia (Federated States of),,23 Sep 2002 a
Monaco,25 Nov 1998,6 Sep 2001
Mongolia,,7 Sep 2000 a
Montenegro,,23 Oct 2006 d
Morocco,,9 May 2007 a
Mozambique,,14 Jan 2003 a
Myanmar,,12 Nov 2001 a
Nauru,,2 Aug 2005 a
Nepal,24 Sep 1999,
Netherlands,12 Mar 1998,7 Feb 2002 A
New Zealand,,4 Nov 2002 a
Nicaragua,,17 Jan 2003 a
Niger,,26 Oct 2004 a
Nigeria,,24 Sep 2013 a
Niue,,22 Jun 2009 a
Norway,31 Jul 1998,20 Sep 1999
Pakistan,,13 Aug 2002 a
Palau,,14 Nov 2001 a
Panama,3 Sep 1998,5 Mar 1999
Papua New Guinea,,30 Sep 2003 a
Paraguay,,22 Sep 2004 a
Peru,,10 Nov 2001 a
Philippines,23 Sep 1998,7 Jan 2004
Poland,14 Jun 1999,3 Feb 2004
Portugal,30 Dec 1999,10 Nov 2001
Qatar,,27 Jun 2008 a
Republic of Korea,3 Dec 1999,17 Feb 2004
Republic of Moldova,,10 Oct 2002 a
Romania,30 Apr 1998,29 Jul 2004
Russian Federation,12 Jan 1998,8 May 2001
Rwanda,,13 May 2002 a
San Marino,,12 Mar 2002 a
Sao Tome and Principe,,12 Apr 2006 a
Saudi Arabia,,31 Oct 2007 a
Senegal,,27 Oct 2003 a
Serbia,,31 Jul 2003 a
Seychelles,,22 Aug 2003 a
Sierra Leone,,26 Sep 2003 a
Singapore,,31 Dec 2007 a
Slovakia,28 Jul 1998,8 Dec 2000
Slovenia,30 Oct 1998,25 Sep 2003
Solomon Islands,,24 Sep 2009 a
South Africa,21 Dec 1999,1 May 2003
Spain,1 May 1998,30 Apr 1999
Sri Lanka,12 Jan 1998,23 Mar 1999
St. Kitts and Nevis,,16 Nov 2001 a
St. Lucia,,17 Oct 2012 a
St. Vincent and the Grenadines,,15 Sep 2005 a
Sudan,7 Oct 1999,8 Sep 2000
Swaziland,,4 Apr 2003 a
Sweden,12 Feb 1998,6 Sep 2001
Switzerland,,23 Sep 2003 a
Tajikistan,,29 Jul 2002 a
Thailand,,12 Jun 2007 a
The former Yugoslav Republic of Macedonia,16 Dec 1998,30 Aug 2004
Togo,21 Aug 1998,10 Mar 2003
Tonga,,9 Dec 2002 a
Trinidad and Tobago,,2 Apr 2001 a
Tunisia,,22 Apr 2005 a
Turkey,20 May 1999,30 May 2002
Turkmenistan,18 Feb 1999,25 Jun 1999
Uganda,11 Jun 1999,5 Nov 2003
Ukraine,,26 Mar 2002 a
United Arab Emirates,,23 Sep 2005 a
United Kingdom of Great Britain and Northern Ireland,12 Jan 1998,7 Mar 2001
United Republic of Tanzania,,22 Jan 2003 a
United States of America,12 Jan 1998,26 Jun 2002
Uruguay,23 Nov 1998,10 Nov 2001
Uzbekistan,23 Feb 1998,30 Nov 1998
Venezuela (Bolivarian Republic of),23 Sep 1998,23 Sep 2003
Yemen,,23 Apr 2001 a
