Participant,Signature,"Accession(a), Succession(d), Ratification"
Turkey,25 Jan 1988,2 Aug 1988
Turkmenistan,,25 Jun 1999 a
Uganda,,3 Nov 1986 a
Ukraine,27 Feb 1986,24 Feb 1987
United Arab Emirates,,19 Jul 2012 a
United Kingdom of Great Britain and Northern Ireland,15 Mar 1985,8 Dec 1988
United States of America,18 Apr 1988,21 Oct 1994
Uruguay,4 Feb 1985,24 Oct 1986
Uzbekistan,,28 Sep 1995 a
Vanuatu,,12 Jul 2011 a
Venezuela (Bolivarian Republic of),15 Feb 1985,29 Jul 1991
Viet Nam,7 Nov 2013,
Yemen,,5 Nov 1991 a
Zambia,,7 Oct 1998 a
